Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
TPL,Texas Pacific Land Corp,33,ENERGY,Oil&Gas-Royalty Trust,1090.31,-2.2,-24.09,14,-49.7,97,32,A-,A,D,79
FND,Floor & Decor Hldgs Cl A,34,RETAIL,Retail/Whlsle-Bldg Prds,104.35,-3.8,-4.15,729,-3.4,94,31,A-,A,E,78
GIC,Global Industrial Co,34,RETAIL,Retail/Whlsle-Bldg Prds,33.07,-2.7,-0.93,46,8.5,83,29,A-,B,B-,69
LAWS,Lawson Products Inc,34,RETAIL,Retail/Whlsle-Bldg Prds,46.67,-0.9,-0.44,28,9.9,86,34,A-,B,C,76
MSM,M S C Industrial Drct,34,RETAIL,Retail/Whlsle-Bldg Prds,83.77,0,-0.04,524,27.2,71,55,A-,B,B-,79
SITE,SiteOne Landscape Supply,34,RETAIL,Retail/Whlsle-Bldg Prds,178.95,-3.8,-7.13,183,-32.5,98,34,A-,B,E,79
RDN,Radian Group Inc,35,FINANCE,Finance-Mrtg&Rel Svc,22.22,-0.6,-0.14,1527,-21.8,79,73,A-,C,B+,88
FBMS,First Bancshares Inc Ms,36,BANKS,Banks-Southeast,36.15,0.4,0.15,116,105.3,86,46,A-,C,D+,69
MVBF,MVB Financial Corp,36,BANKS,Banks-Southeast,39.8,-1.3,-0.54,31,12.1,87,88,A-,C,B-,93
RBCAA,Republic Bancorp Ky Cl A,36,BANKS,Banks-Southeast,48.66,-0.4,-0.19,13,-44.3,62,73,A-,B,C,75
ASML,A S M L Holding N.V. NY,37,CHIPS,Elec-Semiconductor Equip,645.93,-5.9,-40.82,1061,-5.2,95,37,A-,A,E,79
AXTI,A X T Inc,37,CHIPS,Elec-Semiconductor Equip,7.1,-3.9,-0.29,224,4.2,69,21,A-,B,B,71
COHU,Cohu Inc,37,CHIPS,Elec-Semiconductor Equip,30.52,-5.6,-1.82,416,-8.6,77,28,A-,B,D-,72
ENTG,Entegris Inc,37,CHIPS,Elec-Semiconductor Equip,126.11,-4.9,-6.44,2148,53.3,95,80,A-,A,C+,97
ICHR,Ichor Holdings Ltd,37,CHIPS,Elec-Semiconductor Equip,40.95,-4.1,-1.75,194,-6.8,80,34,A-,B,C+,77
KLIC,Kulicke & Soffa Ind Inc,37,CHIPS,Elec-Semiconductor Equip,53,-2.7,-1.46,1179,9.1,88,78,A-,A,C,93
CCL,Carnival Corporation,39,LEISURE,Leisure-Services,20.34,-2.4,-0.51,27367,-39,28,35,A-,D,B,54
LYFT,Lyft Inc Cl A,39,LEISURE,Leisure-Services,36.36,-5.4,-2.08,4685,-25.9,61,21,A-,D,D,49
NCLH,Norwegian Cruise Lne Hld,39,LEISURE,Leisure-Services,20.49,-3.8,-0.82,14751,-38,35,26,A-,D,B-,47
OSW,Onespaworld Holdings,39,LEISURE,Leisure-Services,9.94,-3.2,-0.33,129,-58.6,44,41,A-,D,C-,67
PCOM,Points.com Inc,39,LEISURE,Leisure-Services,15.7,0.3,0.04,94,254.3,55,52,A-,D,D,71
