"#","Symbol","Name","Sector","Ind Group Rank","Industry Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating"
"129","SWKS","Skyworks Solutions Inc","CHIPS","65","Elec-Semiconductor Mfg","138.54","-6.7","-9.93","3163","63.3","84","25","B","A","D","68"
"47","GE","General Electric Co","MISC","63","Diversified Operations","98.32","0.3","0.28","6208","-6.4","53","55","B+","D","D","57"
"53","HON","Honeywell International","MISC","63","Diversified Operations","191.75","-7.6","-15.8","8636","153","81","33","B+","B","E","68"
"72","MMM","Three M Company","MISC","63","Diversified Operations","164.39","-1.4","-2.27","2606","-1.5","51","34","B+","A","D-","54"
"87","NWS","News Corporation Cl B","MEDIA","62","Media-Newspapers","22.54","0.5","0.12","397","-39","82","64","B+","C","D+","76"
"56","IP","International Paper Co","MISC","60","Paper & Paper Products","47.56","-0.3","-0.15","2883","-24.6","70","46","B+","B","B-","74"
"22","CHCT","Community Healthcare Tr","REAL EST","57","Finance-Property REIT","43.28","-2.3","-1.02","48","-54.8","76","39","B+","B","B-","77"
"28","CTRE","Caretrust Reit","REAL EST","57","Finance-Property REIT","20.01","-3.5","-0.73","778","-18.4","61","39","B+","B","C-","68"
"50","GTY","Getty Realty Corp Hld Co","REAL EST","57","Finance-Property REIT","28.88","-2.8","-0.84","464","75.1","63","43","B+","B","B-","72"
"85","NNN","National Retail Pptys","REAL EST","57","Finance-Property REIT","43.67","-1.3","-0.56","925","-4.7","76","48","B+","B","B","78"
"90","OFC","Corporate Office Pptys","REAL EST","57","Finance-Property REIT","25.17","-1.7","-0.44","609","-18.3","94","37","B+","C","D-","68"
"93","PEB","Pebblebrook Hotel Tr","REAL EST","57","Finance-Property REIT","21.74","-0.4","-0.09","914","-33.5","49","48","B+","D","B-","65"
"101","PSTL","Postal Realty Trust Cl A","REAL EST","57","Finance-Property REIT","17.85","-0.6","-0.11","111","-31.9","69","48","B+","C","C+","75"
"139","UE","Urban Edge Properties","REAL EST","57","Finance-Property REIT","17.95","-2","-0.36","625","-15.8","49","73","B+","B","E","73"
"144","VICI","Vici Properties","REAL EST","57","Finance-Property REIT","28.32","-1.6","-0.45","3555","-37.8","71","55","B+","A","C-","78"
"60","KT","K T Corp Adr","TELECOM","54","Telecom Svcs- Foreign","13.08","-0.7","-0.09","371","-61.1","62","80","B+","D","B-","78"
"122","SKM","S K Telecom Co Ltd Ads","TELECOM","54","Telecom Svcs- Foreign","26.04","-2.3","-0.6","257","-28.8","69","41","B+","C","B-","70"
"130","TCOM","Trip.com Group Ltd Adr","LEISURE","51","Leisure-Travel Booking","26.17","-0.5","-0.12","2657","-58.8","33","33","B+","C","B","45"
"46","FUTU","Futu Holdings Cl A Ads","FINANCE","50","Finance-Invest Bnk/Bkrs","41.45","-2.1","-0.87","2344","-59.1","97","10","B+","A","B-","70"
"15","BEKE","Ke Holdings Inc Ads Cl A","REAL EST","44","Real Estate Dvlpmt/Ops","19.67","-4.1","-0.85","5546","-48.9","54","24","A-","B","A","54"
"112","RMAX","Remax Holdings Inc Cl A","REAL EST","44","Real Estate Dvlpmt/Ops","29.95","1.2","0.36","156","12.5","76","34","A-","A","B+","75"
"40","FDX","Fedex Corp","TRANSPRT","43","Transport-Air Freight","247.32","-1.8","-4.5","1797","-20.7","47","46","A-","B","B-","69"
"52","HIMX","Himax Technologies Ads","CHIPS","42","Elec-Semicondctor Fablss","10.13","-5.7","-0.61","3151","-26.7","69","34","A-","A","D+","73"
