Symbol,Name,Sector,Industry Name,Ind Group Rank,Exchange,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating,,,,,,,,,,,,,,,
UWMC,UWM Holdings Corp Cl A,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,4.71,-4.5,-0.22,3104,14,8,14,A-,B,E,22,,,,,,,,,,,,,,,
VEL,Velocity Financial Inc,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,12.7,-1.5,-0.19,7,-74.1,96,95,A-,B,A-,95,,,,,,,,,,,,,,,
AHG,Akso Health Group Ads,FINANCE,Financial Svcs-Specialty,81,NASDAQ,1.77,-2.2,-0.04,63,-62.2,43,25,B-,E,B-,26,,,,,,,,,,,,,,,
AINC,Ashford Inc,FINANCE,Financial Svcs-Specialty,81,AMEX,17.94,1.8,0.32,12,-6.1,73,98,B-,A,C-,85,,,,,,,,,,,,,,,
ALLY,Ally Financial Inc,FINANCE,Financial Svcs-Specialty,81,NYSE,49.07,0.1,0.04,2931,31,79,75,B-,B,D-,73,,,,,,,,,,,,,,,
AMBC,Ambac Financial Grp Inc,FINANCE,Financial Svcs-Specialty,81,NYSE,14.13,-1.7,-0.24,342,-13.8,55,35,B-,E,D,42,,,,,,,,,,,,,,,
AMRK,A-Mark Precious Metals,FINANCE,Financial Svcs-Specialty,81,NASDAQ,64.48,0.8,0.5,43,-31.6,35,96,B-,B,C-,71,,,,,,,,,,,,,,,
ASPS,Altisource Ptf Sltns Sa,FINANCE,Financial Svcs-Specialty,81,NASDAQ,10.75,-4,-0.45,28,-33.5,7,91,B-,D,B,56,,,,,,,,,,,,,,,
BCSF,Bain Cap Specialty Fin,FINANCE,Financial Svcs-Specialty,81,NYSE,15.88,-0.4,-0.07,103,-34.2,78,83,B-,C,C+,80,,,,,,,,,,,,,,,
BFST,Business First Bancshare,FINANCE,Financial Svcs-Specialty,81,NASDAQ,27.31,-0.6,-0.17,23,49.4,69,89,B-,B,C-,79,,,,,,,,,,,,,,,
BKKT,Bakkt Holdings Inc Cl A,FINANCE,Financial Svcs-Specialty,81,NYSE,4.18,-9.3,-0.43,4541,-29.2,6,1,B-,E,C,11,,,,,,,,,,,,,,,
BR,Broadridge Finl Sltns,FINANCE,Financial Svcs-Specialty,81,NYSE,153.91,0.4,0.68,678,90.8,82,37,B-,A,D+,76,,,,,,,,,,,,,,,
BTCM,Bit Mining Ltd Adr,FINANCE,Financial Svcs-Specialty,81,NYSE,2.89,-8.4,-0.27,451,0.3,23,3,B-,D,D+,20,,,,,,,,,,,,,,,
BTCS,Btcs Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,4.99,-6.4,-0.34,259,-91.6,2,16,B-,-,D,17,,,,,,,,,,,,,,,
CBOE,Cboe Global Markets Inc,FINANCE,Financial Svcs-Specialty,81,BATS,119.55,0.6,0.66,357,-32.5,85,69,B-,B,D-,73,,,,,,,,,,,,,,,
CME,C M E Group Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,239.52,3.2,7.5,1620,84.9,70,87,B-,C,C-,76,,,,,,,,,,,,,,,
CWAN,Clearwater Analytics ClA,FINANCE,Financial Svcs-Specialty,81,NYSE,17.2,-4.4,-0.79,308,-10,15,20,B-,-,D+,27,,,,,,,,,,,,,,,
DFIN,Donnelley Financial Sol,FINANCE,Financial Svcs-Specialty,81,NYSE,36.61,-0.7,-0.27,293,78.8,81,94,B-,B,C-,90,,,,,,,,,,,,,,,
DGHI,Digihost Technology Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,3.93,-4.8,-0.2,135,-12.6,58,10,B-,D,C+,39,,,,,,,,,,,,,,,
ECPG,Encore Capital Group Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,66.99,3.3,2.16,262,-8.7,79,98,B-,A,C+,92,,,,,,,,,,,,,,,
EFX,Equifax Inc,FINANCE,Financial Svcs-Specialty,81,NYSE,244.87,1.1,2.65,583,-6.8,64,69,B-,A,E,70,,,,,,,,,,,,,,,
ENV,Envestnet Inc,FINANCE,Financial Svcs-Specialty,81,NYSE,72.7,-1.5,-1.13,446,194.9,80,42,B-,B,C+,74,,,,,,,,,,,,,,,
EQOS,Eqonex Limited,FINANCE,Financial Svcs-Specialty,81,NASDAQ,1.55,-6.4,-0.11,667,-2.6,7,1,B-,-,B-,9,,,,,,,,,,,,,,,
FINV,Finvolution Gp Cl A Ads,FINANCE,Financial Svcs-Specialty,81,NYSE,4,-3.5,-0.15,647,-19.8,61,20,B-,A,D+,55,,,,,,,,,,,,,,,
FIS,Fidelity Natl Info Svcs,FINANCE,Financial Svcs-Specialty,81,NYSE,119.87,-1.5,-1.85,2877,-0.2,83,55,B-,B,B-,75,,,,,,,,,,,,,,,
FISV,Fiserv Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,108.38,-0.3,-0.28,2037,-31.5,94,72,B-,B,E,80,,,,,,,,,,,,,,,
FLT,Fleetcor Technologies,FINANCE,Financial Svcs-Specialty,81,NYSE,241.68,0.4,0.99,541,32.3,88,42,B-,A,C+,77,,,,,,,,,,,,,,,
FRG,Franchise Group Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,50.76,0.4,0.21,153,-2.5,69,97,B-,C,B,95,,,,,,,,,,,,,,,
GREE,Greenidge Gen Hldngs ClA,FINANCE,Financial Svcs-Specialty,81,NASDAQ,11.2,-11.5,-1.46,336,-40.2,23,99,B-,C,B-,60,,,,,,,,,,,,,,,
GWGH,G W G Holdings Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,4.08,19.3,0.66,4826,19741.7,5,5,B-,E,D-,5,,,,,,,,,,,,,,,
HIVE,HIVE Blockchain Tech Ltd,FINANCE,Financial Svcs-Specialty,81,NASDAQ,1.99,-5.9,-0.13,6905,-13.8,69,14,B-,A,C+,62,,,,,,,,,,,,,,,
HRB,H & R Block Inc,FINANCE,Financial Svcs-Specialty,81,NYSE,24.03,3.6,0.83,2799,102.5,28,79,B-,C,B-,59,,,,,,,,,,,,,,,
HUT,Hut 8 Mining Corp,FINANCE,Financial Svcs-Specialty,81,NASDAQ,6.09,-6.1,-0.4,6986,-2.9,39,77,B-,A,B,76,,,,,,,,,,,,,,,
ICE,Intercontinental Exchng,FINANCE,Financial Svcs-Specialty,81,NYSE,129.02,1.6,1.98,1810,27.8,87,72,B-,A,D+,88,,,,,,,,,,,,,,,
IMXI,International Money Exp,FINANCE,Financial Svcs-Specialty,81,NASDAQ,15.98,-0.1,-0.02,110,-16.2,94,69,B-,A,B-,92,,,,,,,,,,,,,,,
INFO,IHS Markit Ltd,FINANCE,Financial Svcs-Specialty,81,NYSE,118.82,1.1,1.35,1670,36.7,83,77,B-,B,D-,80,,,,,,,,,,,,,,,
IREN,Iris Energy Limited,FINANCE,Financial Svcs-Specialty,81,NASDAQ,12.64,-8.6,-1.19,81,-68.8,2,11,B-,D,C,23,,,,,,,,,,,,,,,
JFIN,Jiayin Group Cl A Ads,FINANCE,Financial Svcs-Specialty,81,NASDAQ,2.14,-4.5,-0.1,28,-63.7,67,10,B-,-,D,32,,,,,,,,,,,,,,,
JFU,9F Inc Cl A Ads,FINANCE,Financial Svcs-Specialty,81,NASDAQ,0.99,-3.3,-0.03,82,-8.2,28,16,B-,E,D,18,,,,,,,,,,,,,,,
LC,Lendingclub Corporation,FINANCE,Financial Svcs-Specialty,81,NYSE,18.08,-7,-1.36,2677,-1.1,69,35,B-,A,B,68,,,,,,,,,,,,,,,
LMFA,L M Funding America Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,3.79,5.7,0.21,121,2.8,51,13,B-,E,B-,27,,,,,,,,,,,,,,,
LU,Lufax Holding Ltd Ads,FINANCE,Financial Svcs-Specialty,81,NYSE,4.8,-5.3,-0.27,3150,-54.2,91,14,B-,A,B-,62,,,,,,,,,,,,,,,
MGI,Moneygram International,FINANCE,Financial Svcs-Specialty,81,NYSE,9.61,9.3,0.82,6244,166.7,24,96,B-,-,A-,59,,,,,,,,,,,,,,,
MIGI,Mawson Infrastructure Gp,FINANCE,Financial Svcs-Specialty,81,NASDAQ,5.34,-1.7,-0.1,72,-41.5,13,9,B-,D,B-,24,,,,,,,,,,,,,,,
MSCI,M S C I Inc,FINANCE,Financial Svcs-Specialty,81,NYSE,547.24,0.3,1.84,429,34,94,60,B-,-,D,70,,,,,,,,,,,,,,,
NAVI,Navient Corporation,FINANCE,Financial Svcs-Specialty,81,NASDAQ,17.64,1,0.18,2035,38.1,67,75,B-,C,D,65,,,,,,,,,,,,,,,
NDAQ,Nasdaq Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,182.32,1.2,2.19,572,-11.4,88,65,B-,B,E,69,,,,,,,,,,,,,,,
NRDS,Nerdwallet Inc Cl A,FINANCE,Financial Svcs-Specialty,81,NASDAQ,15.08,-2.4,-0.37,213,-35.1,10,10,B-,C,E,22,,,,,,,,,,,,,,,
OPBK,OP Bancorp,FINANCE,Financial Svcs-Specialty,81,NASDAQ,13.52,-3.5,-0.49,29,-23.6,97,96,B-,A,C,97,,,,,,,,,,,,,,,
PFMT,Performant Financial,FINANCE,Financial Svcs-Specialty,81,NASDAQ,2.25,-2.6,-0.06,237,-38.8,31,77,B-,D,C-,49,,,,,,,,,,,,,,,
PRAA,P R A Group Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,46.43,-0.9,-0.43,180,-13.6,58,92,B-,B,C-,77,,,,,,,,,,,,,,,
PRTH,Priority Technology Hldg,FINANCE,Financial Svcs-Specialty,81,NASDAQ,5.96,0.3,0.02,11,-54.6,4,55,B-,-,B-,35,,,,,,,,,,,,,,,
QFIN,360 Digitech Inc Cl AAds,FINANCE,Financial Svcs-Specialty,81,NASDAQ,19.46,-4.4,-0.89,462,-59.5,95,52,B-,A,D,77,,,,,,,,,,,,,,,
RELY,Remitly Global Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,11.69,-8.3,-1.06,321,-32.6,14,2,B-,D,E,16,,,,,,,,,,,,,,,
RIOT,Riot Blockchain Inc,FINANCE,Financial Svcs-Specialty,81,NASDAQ,15.39,-7.8,-1.3,7842,-30.2,23,11,B-,C,D+,31,,,,,,,,,,,,,,,
SDIG,Stronghold Dig MiningClA,FINANCE,Financial Svcs-Specialty,81,NASDAQ,8.38,-9.3,-0.86,234,-53.8,2,1,B-,-,D,7,,,,,,,,,,,,,,,
SOS,SOS Limited Ads,FINANCE,Financial Svcs-Specialty,125,NYSE,0.7,-5.5,-0.04,4597,-36.6,25,1,C,B,D+,23,,,,,,,,,,,,,,,
SRL,Scully Royalty Ltd,FINANCE,Financial Svcs-Specialty,81,NYSE,8.85,1,0.08,3,-61,69,31,B-,C,C+,59,,,,,,,,,,,,,,,
TIPT,Tiptree Inc Cl A,FINANCE,Financial Svcs-Specialty,81,NASDAQ,12.97,1.3,0.17,37,-39.8,51,97,B-,A,D+,79,,,,,,,,,,,,,,,
TRIT,Triterras Inc Cl A,FINANCE,Financial Svcs-Specialty,81,NASDAQ,1.64,-9.9,-0.18,185,-66.6,8,1,B-,B,D+,21,,,,,,,,,,,,,,,
TRU,TransUnion,FINANCE,Financial Svcs-Specialty,81,NYSE,104.34,1.2,1.24,451,-32.6,94,44,B-,A,E,77,,,,,,,,,,,,,,,
TW,Tradeweb Markets Cl A,FINANCE,Financial Svcs-Specialty,81,NASDAQ,84.12,-0.4,-0.32,378,-20.6,92,75,B-,A,E,87,,,,,,,,,,,,,,,
VIRT,Virtu Financial Inc Cl A,FINANCE,Financial Svcs-Specialty,81,NASDAQ,31.02,1.8,0.55,841,30.1,64,89,B-,B,A-,84,,,,,,,,,,,,,,,
WU,Western Union Co,FINANCE,Financial Svcs-Specialty,81,NYSE,18.93,-1.7,-0.33,3777,-23.1,66,35,B-,A,C+,57,,,,,,,,,,,,,,,
XYF,X Financial Cl A Ads,FINANCE,Financial Svcs-Specialty,81,NYSE,3.17,-4.8,-0.16,29,-24.2,69,24,B-,D,D,40,,,,,,,,,,,,,,,
AKOA,Embotelladora Andina Adr,FOOD/BEV,Beverages-Non-Alcoholic,19,NYSE,10.88,0,0,0,0,80,33,A,C,B-,73,,,,,,,,,,,,,,,
AKOB,Embotelladora Andina Clb,FOOD/BEV,Beverages-Non-Alcoholic,19,NYSE,12.73,0,0,0,0,80,35,A,C,D+,71,,,,,,,,,,,,,,,
BRFH,Barfresh Food Group Inc,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,5.4,8,0.4,35,-87,27,22,A,D,-,41,,,,,,,,,,,,,,,
BTB,Bit Brother Ltd,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,0.43,4.9,0.02,571,-75.9,2,1,A,D,D-,18,,,,,,,,,,,,,,,
CCEP,Coca Cola EurpacificPtnr,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,58.48,0.3,0.16,558,-21.8,84,83,A,B,B,97,,,,,,,,,,,,,,,
CELH,Celsius Holdings Inc,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,49.8,-0.8,-0.4,791,2.2,34,18,A,B,C,54,,,,,,,,,,,,,,,
COCO,Vita Coco Company Inc,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,11.33,-1.5,-0.17,209,-62.6,62,28,A,A,D-,63,,,,,,,,,,,,,,,
COKE,Coca-Cola Consolidated,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,566.45,-0.1,-0.51,18,-6.6,95,99,A,B,B,99,,,,,,,,,,,,,,,
FIZZ,National Beverage Corp,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,44.17,-0.9,-0.42,107,-42,55,32,A,B,C+,56,,,,,,,,,,,,,,,
FMX,Fomento Econ Mex Sab Ads,FOOD/BEV,Beverages-Non-Alcoholic,19,NYSE,77,2.5,1.91,540,28.2,74,44,A,C,D-,74,,,,,,,,,,,,,,,
KDP,Keurig Dr Pepper Inc,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,38.79,1.7,0.65,3819,-0.5,46,86,A,B,B+,86,,,,,,,,,,,,,,,
KO,Coca Cola Co,FOOD/BEV,Beverages-Non-Alcoholic,19,NYSE,61.24,1.1,0.68,15492,14.5,80,88,A,A,C+,95,,,,,,,,,,,,,,,
KOF,Coca Cola Femsa Sab Ads,FOOD/BEV,Beverages-Non-Alcoholic,19,NYSE,54.07,2.4,1.27,98,10.2,81,77,A,C,C+,87,,,,,,,,,,,,,,,
MNST,Monster Beverage Corp,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,87.23,0.9,0.76,1271,-10.7,80,48,A,A,D-,80,,,,,,,,,,,,,,,
NBEV,NewAge Inc,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,0.73,-3.4,-0.03,539,-60.5,39,4,A,D,E,30,,,,,,,,,,,,,,,
PRMW,Primo Water Corporation,FOOD/BEV,Beverages-Non-Alcoholic,19,NYSE,16.77,-1.1,-0.19,565,24.3,86,77,A,C,B-,89,,,,,,,,,,,,,,,
REED,Reeds Inc,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,0.32,-3.8,-0.01,381,-17.4,27,4,A,E,C-,29,,,,,,,,,,,,,,,
WTER,Alkaline Water Co Inc,FOOD/BEV,Beverages-Non-Alcoholic,19,NASDAQ,1.07,-2.7,-0.03,577,-53.6,5,20,A,E,D+,31,,,,,,,,,,,,,,,
ZVIA,Zevia Pbc Cl A,FOOD/BEV,Beverages-Non-Alcoholic,19,NYSE,8.01,1.9,0.15,99,-35.5,8,14,A,C,C,37,,,,,,,,,,,,,,,
HSY,Hershey Company,FOOD/BEV,Food-Confectionery,53,NYSE,198.46,1.4,2.73,1021,87.3,77,91,B+,A,D,86,,,,,,,,,,,,,,,
MDLZ,Mondelez Intl Inc,FOOD/BEV,Food-Confectionery,53,NASDAQ,67.93,1.9,1.25,5107,-3.7,72,86,B+,B,B-,85,,,,,,,,,,,,,,,
RMCF,Rocky Mtn Chocolate Fa,FOOD/BEV,Food-Confectionery,53,NASDAQ,8.08,1,0.08,11,-9.8,30,93,B+,C,B,76,,,,,,,,,,,,,,,
SMPL,Simply Good Foods Co,FOOD/BEV,Food-Confectionery,53,NASDAQ,35.98,0.1,0.04,392,17.2,95,69,B+,B,D-,86,,,,,,,,,,,,,,,
TR,Tootsie Roll Industries,FOOD/BEV,Food-Confectionery,53,NYSE,33.16,-0.5,-0.16,41,-63.7,58,77,B+,C,B,80,,,,,,,,,,,,,,,
LWAY,Lifeway Foods Inc,FOOD/BEV,Food-Dairy Products,185,NASDAQ,5.1,1,0.05,14,11.8,30,31,E,C,B,37,,,,,,,,,,,,,,,
OTLY,Oatly Group Ab Ads,FOOD/BEV,Food-Dairy Products,185,NASDAQ,6.98,-4.5,-0.33,1730,-57.1,2,6,E,D,D-,6,,,,,,,,,,,,,,,
ADM,Archer Daniels Midland,FOOD/BEV,Food-Grain & Related,27,NYSE,76.74,1.6,1.21,1929,11.3,85,95,A,B,B-,97,,,,,,,,,,,,,,,
ANDE,Andersons Inc,FOOD/BEV,Food-Grain & Related,27,NASDAQ,37.98,-0.2,-0.06,67,-33.9,69,96,A,C,B+,95,,,,,,,,,,,,,,,
CLXT,Calyxt Inc,FOOD/BEV,Food-Grain & Related,27,NASDAQ,1.68,-10.2,-0.19,70,-37.8,34,5,A,D,D-,29,,,,,,,,,,,,,,,
INGR,Ingredion Inc,FOOD/BEV,Food-Grain & Related,27,NYSE,96.05,0.7,0.71,323,43.8,59,85,A,B,D,82,,,,,,,,,,,,,,,
RIBT,Ricebran Technologies,FOOD/BEV,Food-Grain & Related,27,NASDAQ,0.31,-3.1,-0.01,244,-48.8,40,5,A,E,C-,35,,,,,,,,,,,,,,,
BRFS,B R F  S A Adr,FOOD/BEV,Food-Meat Products,64,NYSE,3.74,-9.7,-0.4,12868,482.7,8,69,B+,B,C+,52,,,,,,,,,,,,,,,
BSFC,Blue Star Foods Corp,FOOD/BEV,Food-Meat Products,64,NASDAQ,2.17,-4.1,-0.09,346,-79.9,23,7,B+,-,E,12,,,,,,,,,,,,,,,
BYND,Beyond Meat Inc,FOOD/BEV,Food-Meat Products,64,NASDAQ,64.2,-4.1,-2.74,2218,-33.7,1,11,B+,D,B-,22,,,,,,,,,,,,,,,
CALM,Cal-Maine Foods Inc,FOOD/BEV,Food-Meat Products,64,NASDAQ,39.53,0.9,0.37,183,-18.7,15,83,B+,D,B,71,,,,,,,,,,,,,,,
DDL,Dingdong Cayman Ads Cl A,FOOD/BEV,Food-Meat Products,64,NYSE,4.98,-3.3,-0.17,283,-8.5,1,1,B+,-,E,6,,,,,,,,,,,,,,,
HRL,Hormel Foods Co,FOOD/BEV,Food-Meat Products,64,NYSE,47.72,1.3,0.61,1089,-26.4,65,75,B+,B,C-,83,,,,,,,,,,,,,,,
IBA,Industrias Bachoco Adr,FOOD/BEV,Food-Meat Products,64,NYSE,41.11,-0.1,-0.04,5,-34.6,58,48,B+,B,C,70,,,,,,,,,,,,,,,
MITC,Meatech 3D Ltd Ads,FOOD/BEV,Food-Meat Products,64,NASDAQ,5.03,0.2,0.01,27,-65.3,41,14,B+,-,D-,29,,,,,,,,,,,,,,,
MMMB,Mamamancinis Holdings,FOOD/BEV,Food-Meat Products,64,NASDAQ,1.98,-3.9,-0.08,35,-78.7,10,22,B+,B,B-,36,,,,,,,,,,,,,,,
PLIN,China Xiangtai Food Co,FOOD/BEV,Food-Meat Products,64,NASDAQ,1.17,-2.5,-0.03,444,-23.4,8,95,B+,D,D+,48,,,,,,,,,,,,,,,
PME,Pingtan Marine Ent Ltd,FOOD/BEV,Food-Meat Products,64,NASDAQ,0.63,-4.2,-0.03,168,-39.8,69,25,B+,D,B,51,,,,,,,,,,,,,,,
PPC,Pilgrims Pride Corp,FOOD/BEV,Food-Meat Products,64,NASDAQ,28.49,0.1,0.03,508,109,50,92,B+,C,B+,89,,,,,,,,,,,,,,,
SAFM,Sanderson Farms Inc,FOOD/BEV,Food-Meat Products,64,NASDAQ,183.51,-0.4,-0.71,78,-33.2,77,83,B+,A,D,91,,,,,,,,,,,,,,,
TSN,Tyson Foods Inc Cl A,FOOD/BEV,Food-Meat Products,64,NYSE,91.52,0.5,0.46,2580,91.1,85,94,B+,B,B+,91,,,,,,,,,,,,,,,
VGFC,Very Good Food,FOOD/BEV,Food-Meat Products,64,NASDAQ,0.61,-1.6,-0.01,161,-69.3,2,1,B+,D,E,6,,,,,,,,,,,,,,,
VITL,Vital Farms Inc,FOOD/BEV,Food-Meat Products,64,NASDAQ,16.22,-2.9,-0.49,58,-47.8,36,30,B+,C,B,47,,,,,,,,,,,,,,,
APRN,Blue Apron Holdings Cl A,FOOD/BEV,Food-Misc Preparation,91,NYSE,7.8,-3.7,-0.3,825,-32.1,12,90,B-,E,A-,52,,,,,,,,,,,,,,,
CHEF,Chefs' Warehouse Hldg,FOOD/BEV,Food-Misc Preparation,91,NASDAQ,29.46,0.3,0.1,138,-3.8,69,42,B-,D,C-,63,,,,,,,,,,,,,,,
CVGW,Calavo Growers Inc,FOOD/BEV,Food-Misc Preparation,91,NASDAQ,41.21,-0.4,-0.18,35,-54.1,11,21,B-,D,B,34,,,,,,,,,,,,,,,
DOLE,Dole plc,FOOD/BEV,Food-Misc Preparation,91,NYSE,14.46,-0.7,-0.1,508,3.8,30,60,B-,C,B,69,,,,,,,,,,,,,,,
FDP,Fresh Del Monte Produce,FOOD/BEV,Food-Misc Preparation,91,NYSE,27.85,-0.3,-0.09,103,50.8,30,39,B-,D,B-,48,,,,,,,,,,,,,,,
FREE,Whole Earth Brands Inc,FOOD/BEV,Food-Misc Preparation,91,NASDAQ,9.17,-5,-0.49,176,2.9,69,22,B-,C,D+,53,,,,,,,,,,,,,,,
JBSS,John B Sanfilippo & Son,FOOD/BEV,Food-Misc Preparation,91,NASDAQ,80,0.1,0.07,43,113.8,73,37,B-,B,C+,66,,,,,,,,,,,,,,,
LNDC,Landec Corporation,FOOD/BEV,Food-Misc Preparation,91,NASDAQ,11,0.5,0.05,51,-50.7,5,81,B-,E,A-,55,,,,,,,,,,,,,,,
MKC,Mccormick & Co,FOOD/BEV,Food-Misc Preparation,91,NYSE,101.87,1.4,1.38,853,-18.7,69,92,B-,B,B,87,,,,,,,,,,,,,,,
MKCV,Mccormick & Co Vtg,FOOD/BEV,Food-Misc Preparation,91,NYSE,100.21,0,0,0,0,58,91,B-,B,A+,89,,,,,,,,,,,,,,,
PLAG,Planet Green Holdings,FOOD/BEV,Food-Misc Preparation,91,AMEX,0.89,5.8,0.05,9,-90.1,25,9,B-,D,B-,26,,,,,,,,,,,,,,,
SXT,Sensient Technologies Cp,FOOD/BEV,Food-Misc Preparation,91,NYSE,83.52,-0.5,-0.43,383,336.3,57,48,B-,C,E,50,,,,,,,,,,,,,,,
AMBP,Ardagh Metal PackagingSA,FOOD/BEV,Food-Packaged,89,NYSE,9.56,-0.9,-0.09,967,12.6,39,44,B-,-,B+,53,,,,,,,,,,,,,,,
BGS,B & G Foods Inc,FOOD/BEV,Food-Packaged,89,NYSE,31.17,0,0,299,-45.5,36,72,B-,B,B-,60,,,,,,,,,,,,,,,
BRCN,Burcon Nutrascience Corp,FOOD/BEV,Food-Packaged,89,NASDAQ,1,-0.5,-0.01,10,-81,5,7,B-,C,D,19,,,,,,,,,,,,,,,
BRID,Bridgford Foods Corp,FOOD/BEV,Food-Packaged,89,NASDAQ,11.9,1.1,0.13,5,105.2,8,31,B-,C,C+,33,,,,,,,,,,,,,,,
CAG,Conagra Brands Inc,FOOD/BEV,Food-Packaged,89,NYSE,35.28,0.8,0.29,3029,0.7,51,75,B-,C,B-,65,,,,,,,,,,,,,,,
CPB,Campbell Soup Co,FOOD/BEV,Food-Packaged,89,NYSE,44.63,1.1,0.48,1544,-20.6,43,69,B-,C,D-,57,,,,,,,,,,,,,,,
FAMI,Farmmi Inc,FOOD/BEV,Food-Packaged,89,NASDAQ,0.2,-3.1,-0.01,22090,-30.8,8,7,B-,B,B+,27,,,,,,,,,,,,,,,
FLO,Flowers Foods Inc,FOOD/BEV,Food-Packaged,89,NYSE,28.4,1.1,0.31,970,0.9,61,91,B-,B,B,81,,,,,,,,,,,,,,,
FRPT,Freshpet Inc,FOOD/BEV,Food-Packaged,89,NASDAQ,91,-3.1,-2.91,279,-42.6,8,14,B-,C,D-,24,,,,,,,,,,,,,,,
GIS,General Mills Inc,FOOD/BEV,Food-Packaged,89,NYSE,68.91,1,0.66,1959,-20.6,54,88,B-,B,C+,76,,,,,,,,,,,,,,,
HAIN,Hain Celestial Group,FOOD/BEV,Food-Packaged,89,NASDAQ,36.47,-0.6,-0.21,680,-10.2,43,30,B-,D,C+,43,,,,,,,,,,,,,,,
JJSF,J & J Snack Foods Corp,FOOD/BEV,Food-Packaged,89,NASDAQ,150.06,0.6,0.96,53,15.5,64,42,B-,C,B-,68,,,,,,,,,,,,,,,
K,Kellogg Company,FOOD/BEV,Food-Packaged,89,NYSE,63.32,0.1,0.09,1738,20,61,72,B-,B,D-,68,,,,,,,,,,,,,,,
KHC,The Kraft Heinz Company,FOOD/BEV,Food-Packaged,89,NASDAQ,36.37,0.7,0.24,5272,2.4,43,48,B-,C,E,41,,,,,,,,,,,,,,,
LANC,Lancaster Colony Corp,FOOD/BEV,Food-Packaged,89,NASDAQ,159.33,0.8,1.25,59,6.7,60,31,B-,B,D,56,,,,,,,,,,,,,,,
LSF,Laird Superfood Inc,FOOD/BEV,Food-Packaged,89,ARCA,7.5,-10.7,-0.9,26,-18.5,6,2,B-,D,B-,17,,,,,,,,,,,,,,,
LW,Lamb Weston Holdings Inc,FOOD/BEV,Food-Packaged,89,NYSE,64.24,-0.5,-0.35,767,-30,28,55,B-,B,B,57,,,,,,,,,,,,,,,
NOMD,Nomad Foods Ltd,FOOD/BEV,Food-Packaged,89,NYSE,26.32,0.7,0.18,588,10.1,85,52,B-,B,D,66,,,,,,,,,,,,,,,
NUZE,Nuzee Inc,FOOD/BEV,Food-Packaged,89,NASDAQ,2.72,1.9,0.05,12,-98.7,8,33,B-,E,B-,27,,,,,,,,,,,,,,,
PEP,Pepsico Inc,FOOD/BEV,Food-Packaged,89,NASDAQ,175.34,1.7,3,3440,13.6,72,89,B-,A,D,82,,,,,,,,,,,,,,,
PETZ,Tdh Holdings Inc,FOOD/BEV,Food-Packaged,89,NASDAQ,0.45,-9.4,-0.05,10152,-19.2,27,1,B-,-,C,9,,,,,,,,,,,,,,,
POST,Post Holdings Inc,FOOD/BEV,Food-Packaged,89,NYSE,105.74,-1.6,-1.72,753,177,46,77,B-,C,D-,68,,,,,,,,,,,,,,,
RGF,Real Good Food Co Cl A,FOOD/BEV,Food-Packaged,89,NASDAQ,6.07,0.4,0.03,219,146.1,12,10,B-,-,E,18,,,,,,,,,,,,,,,
SENEA,Seneca Foods Corp Cl A,FOOD/BEV,Food-Packaged,89,NASDAQ,46.32,-1.2,-0.56,8,-49,18,55,B-,C,B-,49,,,,,,,,,,,,,,,
SENEB,Seneca Foods Corp Cl B,FOOD/BEV,Food-Packaged,89,NASDAQ,47.11,0,0,0,0,18,52,B-,C,B-,50,,,,,,,,,,,,,,,
SJM,J M Smucker Co,FOOD/BEV,Food-Packaged,89,NYSE,140.15,1.2,1.65,460,-5.8,52,87,B-,C,E,61,,,,,,,,,,,,,,,
SNAX,Stryve Foods Inc Cl A,FOOD/BEV,Food-Packaged,89,NASDAQ,2.7,-1.3,-0.04,79,-93.1,24,3,B-,E,E,12,,,,,,,,,,,,,,,
