Symbol,Name,Sector,Industry Name,Ind Group Rank,Exchange,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating,,,,,,,,,,,,,,,
EFC,Ellington Financial Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,17.64,-0.4,-0.07,477,-18.2,83,72,B-,B,D-,79,,,,,,,,,,,,,,,
EQH,Equitable Holdings Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,34.8,0.5,0.16,2750,36.6,95,86,B-,C,D-,88,,,,,,,,,,,,,,,
EQS,Equus Total Return Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,2.68,0,0,3,-74.8,20,94,B-,E,B,67,,,,,,,,,,,,,,,
FCRD,First Eagle Alt Cap Bdc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,4.51,1.1,0.05,24,-38,54,75,B-,C,D-,64,,,,,,,,,,,,,,,
FDUS,Fidus Investment Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,18.35,1.7,0.31,94,49.1,34,88,B-,B,E,63,,,,,,,,,,,,,,,
FHI,Federated Hermes Cl B,FINANCE,Finance-Investment Mgmt,82,NYSE,32.5,-0.9,-0.3,808,46.7,54,77,B-,C,B-,69,,,,,,,,,,,,,,,
FOCS,Focus Financial Partners,FINANCE,Finance-Investment Mgmt,82,NASDAQ,51.91,-0.7,-0.37,363,21,94,48,B-,A,E,83,,,,,,,,,,,,,,,
FSK,F S KKR Capital Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,22.23,0.3,0.07,842,-35,62,85,B-,A,E,79,,,,,,,,,,,,,,,
FTAI,Fortress Trans & Infra,FINANCE,Finance-Investment Mgmt,82,NYSE,27.5,1.7,0.47,119,-76.9,6,79,B-,E,B-,52,,,,,,,,,,,,,,,
GAIN,Gladstone Investment Cp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,16.2,0.3,0.05,95,-14,20,91,B-,B,C,80,,,,,,,,,,,,,,,
GBDC,Golub Capital Bdc Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,15.91,1.1,0.17,480,-18,57,69,B-,B,D-,71,,,,,,,,,,,,,,,
GBL,Gamco Investors Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,22.66,1.4,0.31,13,-14.9,75,52,B-,A,D,73,,,,,,,,,,,,,,,
GCMG,G C M Grosvenor Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,9.06,0.6,0.05,402,112.3,93,21,B-,A,E,62,,,,,,,,,,,,,,,
GECC,Great Elm Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,2.94,0,0,78,-17.7,22,31,B-,B,E,34,,,,,,,,,,,,,,,
GLAD,Gladstone Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,11.05,-0.4,-0.04,109,-14.6,48,72,B-,B,D+,69,,,,,,,,,,,,,,,
GRNQ,Greenpro Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,0.44,-4.4,-0.02,462,-47.3,8,3,B-,E,B-,9,,,,,,,,,,,,,,,
GROW,U S Global Investors Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,5.37,-3.6,-0.2,39,-56.6,61,29,B-,A,B,62,,,,,,,,,,,,,,,
HGBL,Heritage Global Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,1.68,-1.7,-0.03,5,-90.8,55,20,B-,B,B+,47,,,,,,,,,,,,,,,
HLNE,Hamilton Lane Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,89.26,-1.9,-1.76,409,237.3,92,55,B-,A,D-,81,,,,,,,,,,,,,,,
HNNA,Hennessy Advisors Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,10.48,-0.2,-0.02,2,-61.5,63,81,B-,B,C-,77,,,,,,,,,,,,,,,
HRZN,Horizon Tech Finance,FINANCE,Finance-Investment Mgmt,82,NASDAQ,16.14,2.3,0.37,243,98.8,54,52,B-,B,B-,69,,,,,,,,,,,,,,,
