Symbol
PLTR
DQ
MTCH
PLL
X
XPEL
AROW
CASY
VLGEA
AVD
SMG
CBSH
SGU
FMX
MNST
FSBW
PPBI
FCNCA
@C
MNRO
ULH
HDB
SHG
WDC
TPL
LAWS
MSM
ESNT
CCL
LYFT
NCLH
PTON
RCL
SIX
UBER
KT
@TU
INTC
MX
MCHP
QRVO
SWKS
NRC
HIMX
XPER
NIO
FUTU
GE
HON
MMM
AXTI
BEKE
RMAX
CTRE
CHCT
OFC
GTY
NNN
PEB
PSTL
UE
VICI
TCOM
AES
PNM
IP
QFIN
ALLY
OMF
RCII
OC
NGVT
MTX
OEC
ABEV
FDX
BYND
JJSF
POST
UL
APAM
PZN
SEIC
SSSS
WHF
MED
LDOS
MMS
SAIC
HUM
BA
RADA
TDG
DELL
NWS
CSGP
ARKK
DPST
LABU
TNA
Fxi
IEMG
HYG
EFA
EEM
IWM
SLV
KWEB
XBI
JETS
GDX
VEA
VWO
CMI
CHPT
OKTA
DKNG
PENN
LGIH
MHo
ZWS
NLY
NREF
MTZ
CRTO
DCI
ARNC
B
VFC
DIS
BURL
GPS
ROST
AAL
DAL
LUV
UAL
DLB
ACCO
AVY
BRC
RDY
SNX
SWK
BIDU
BILI
PINS
TWTR
Z
FNKO
AVNW
TTWO
BIIB
EXAS
ABG
LAD
TMUS
GOLD
FNV
OR
RGLD
ITGR
IART
MDT
ZBH
ISRG
NTUS
COUP
RNG
TWLO
ZEN
ZM
RGR
PTC
CMCO
TLRY
RH
BABA
CHWY
CPNG
FTCH
PDD
@W
CMCSA
ENSG
SQ
PYPL
ROKU
TDOC
SPOT
RUN
BBY
GME
