Ind Group Rank,Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
72,SJM,J M Smucker Co,72,FOOD/BEV,Food-Packaged,140.67,0.8,1.09,322,-32.7,52,87,B,C,E,63
73,MU,Micron Technology Inc,73,COMPUTER,Computer-Data Storage,82.53,-2.4,-1.98,13285,-21.4,90,85,B,A,B-,95
74,KBH,K B Home,74,BUILDING,Bldg-Resident/Comml,42.15,-1.4,-0.53,615,-59.3,99,65,B,A,C,93
74,PHM,Pulte Group Inc,74,BUILDING,Bldg-Resident/Comml,53.23,-2.2,-1.17,2861,66.3,98,82,B,A,B-,96
75,CI,Cigna Corp,75,MEDICAL,Medical-Managed Care,218.23,-5.2,-11.79,2381,93.9,85,69,B,C,D,75
76,CHRW,C H Robinson Worldwide,76,TRANSPRT,Transportation-Logistics,90.04,-2.7,-2.5,1807,132.6,86,65,B,A,E,78
78,IOSP,Innospec Inc,78,CHEMICAL,Chemicals-Specialty,91.22,-1.4,-1.29,46,-28.2,78,65,B,C,E,75
78,KRO,Kronos Worldwide Inc,78,CHEMICAL,Chemicals-Specialty,14.23,-2,-0.29,59,-45.6,82,65,B,C,B-,82
78,VHI,Valhi Inc,78,CHEMICAL,Chemicals-Specialty,26.36,-0.1,-0.02,9,-33.3,70,92,B,C,D,83
79,HPQ,H P Inc,79,COMPUTER,Computer-Hardware/Perip,37.83,-0.9,-0.34,4838,-39.3,95,95,B,-,B+,87
80,BIPC,Brookfield Infra Corp,80,FINANCE,Finance-Investment Mgmt,66.82,-0.2,-0.19,156,-32.9,59,74,B,C,A,82
80,EQH,Equitable Holdings Inc,80,FINANCE,Finance-Investment Mgmt,33.58,-3.5,-1.23,2951,46.6,95,86,B,C,D-,88
80,PSEC,Prospect Capital Corp,80,FINANCE,Finance-Investment Mgmt,8.34,-1.1,-0.09,1216,-23.4,70,84,B,B,D-,80
81,REYN,Reynolds Consumer Prdcts,81,MISC,Containers/Packaging,30.13,0.3,0.08,318,20.5,58,77,B-,B,D+,74
81,SLGN,Silgan Holdings Inc,81,MISC,Containers/Packaging,44.41,-0.4,-0.18,138,-17.6,87,86,B-,B,C-,91
84,BUD,Anheuser Busch Inbev Adr,84,ALCOHL/TOB,Beverages-Alcoholic,61.85,-3.3,-2.01,1000,-28.6,44,65,B-,C,C,65
84,SBEV,Splash Beverage Group,84,ALCOHL/TOB,Beverages-Alcoholic,3.77,-2.1,-0.08,399,-91.4,2,98,B-,-,A,64
84,STZ,Constellation Brands A,84,ALCOHL/TOB,Beverages-Alcoholic,238.1,-1,-2.34,351,-49.8,55,84,B-,B,E,67
84,TAP,Molson Coors Bev Cl B,84,ALCOHL/TOB,Beverages-Alcoholic,48.87,0.7,0.36,885,-18.5,48,56,B-,C,B-,58
86,EMN,Eastman Chemical Co,86,CHEMICAL,Chemicals-Plastics,121.38,0.2,0.29,452,-48.9,64,86,B-,B,B+,87
87,VRNT,Verint Systems Inc,87,SOFTWARE,Computer Sftwr-Security,51.26,-0.8,-0.42,239,-31.2,45,87,B-,B,D+,59
88,ATO,Atmos Energy Corp,88,UTILITY,Utility-Gas Distribution,106.75,-0.1,-0.04,741,-4,55,89,B-,B,B+,85
88,OGS,One Gas Inc,88,UTILITY,Utility-Gas Distribution,78.41,0.6,0.54,91,-47.9,63,84,B-,B,C,77
89,GOAC,Go Acquisition Corp Cl A,89,MISC,Finance-Blank Check,9.86,-0.1,-0.01,32,-77.1,47,60,B-,-,A+,70
90,BG,Bunge Ltd,90,AGRICULTRE,Agricultural Operations,99.13,-1.6,-1.53,716,14.4,93,94,B-,A,B+,95
90,CTVA,Corteva Inc,90,AGRICULTRE,Agricultural Operations,48.68,1.1,0.55,2722,86.8,48,85,B-,C,D+,78
91,B,Barnes Group Inc,91,METALS,Metal Proc & Fabrication,45.32,-1.3,-0.59,50,-53.1,71,60,B-,C,C+,70
91,CENX,Century Aluminum Co,91,METALS,Metal Proc & Fabrication,15.91,1.8,0.28,623,-25.6,33,91,B-,D,B-,71
92,TWI,Titan Intl Inc,92,AUTO,Auto/Truck-Tires & Misc,9.69,-0.3,-0.03,161,-46.6,69,92,B-,D,B,86
93,WNC,Wabash National Corp,93,TRANSPRT,Transportation-Equip Mfg,17.42,3.2,0.54,491,110.3,38,74,B-,C,D,67
94,EPC,Edgewell Personal Care,94,CONSUMER,Cosmetics/Personal Care,44.75,0,0.02,208,-15.7,75,92,B-,C,B-,82
94,NATR,Natures Sunshine Prod,94,CONSUMER,Cosmetics/Personal Care,17.3,-1.1,-0.2,42,-10.3,26,77,B-,B,B+,68
94,NUS,Nu Skin Enterprises Inc,94,CONSUMER,Cosmetics/Personal Care,50.39,-2.1,-1.05,309,-12.4,61,82,B-,B,E,66
95,HPE,Hewlett Packard Ent Co,95,BUSINS SVC,Computer-Tech Services,16.9,-0.8,-0.13,5160,-37.2,88,91,B-,C,B,85
100,SYY,Sysco Corp,100,RETAIL,Wholesale-Food,79.25,-1,-0.74,948,-46.1,68,77,C+,B,C-,84
101,ATI,Allegheny Technologies,101,METALS,Steel-Specialty Alloys,22.6,2.3,0.58,3881,162.8,69,93,C+,E,A-,89
102,FLR,Fluor Corp,102,BUILDING,Bldg-Heavy Construction,21.08,-2.9,-0.64,469,-57.4,67,88,C+,E,B,73
103,DISCA,Discovery Inc Cl A,103,MEDIA,Media-Radio/Tv,28.88,4.3,1.19,10708,52,55,36,C+,B,D+,47
103,TGNA,Tegna Inc,103,MEDIA,Media-Radio/Tv,19.95,0.5,0.11,752,-31.5,74,82,C+,A,D-,76
104,COPX,Global X Copper Miners,104,MISC,Finance-ETF / ETN,37.96,-1.2,-0.48,96,-79.3,0,81,C+,-,C+,0
104,DPST,Direxion Reg Bnk Bull 3X,104,MISC,Finance-ETF / ETN,51.5,-1.2,-0.6,481,-36.8,0,91,C+,-,D-,0
104,FNGD,Bmo REX Misec FANG 3xInv,104,MISC,Finance-ETF / ETN,51.34,14.6,6.52,664,0.4,0,42,C+,-,B+,0
104,GLD,Spdr Gold Shares Etf,104,MISC,Finance-ETF / ETN,168.6,-0.1,-0.25,9109,23.3,0,69,C+,-,D-,0
104,KBE,Spdr S&P Bank Etf,104,MISC,Finance-ETF / ETN,55.47,-0.6,-0.26,3622,36,0,81,C+,-,C,0
104,KRE,Spdr S&P Regional Bank,104,MISC,Finance-ETF / ETN,72.22,-0.4,-0.27,10815,12.6,0,84,C+,-,D,0
105,AIR,A A R Corp,105,AEROSPACE,Aerospace/Defense,40.62,-0.3,-0.05,124,-43.9,81,88,C+,D,B+,84
105,HEI,Heico Corporation,105,AEROSPACE,Aerospace/Defense,135.34,-2.3,-3.23,245,1.2,88,74,C+,B,C,84
105,LMT,Lockheed Martin Corp,105,AEROSPACE,Aerospace/Defense,389.97,0.7,2.63,1255,1.4,86,88,C+,B,A-,89
105,SPR,Spirit Aerosystems Hldgs,105,AEROSPACE,Aerospace/Defense,46.78,0.8,0.38,1352,-7.3,38,90,C+,E,B-,68
107,TTMI,T T M Technologies Inc,107,ELECTRNCS,Elec-Contract Mfg,13.77,0.3,0.06,428,-30.9,60,52,C+,C,B-,60
108,AVT,Avnet Inc,108,ELECTRNCS,Electronic-Parts,41.28,-0.7,-0.27,420,3.6,78,77,C+,C,B,85
110,OSK,Oshkosh Corporation,110,AUTO,Trucks & Parts-Hvy Duty,113.07,-0.6,-0.63,375,0.2,35,72,C+,B,E,52
110,PCAR,Paccar Inc,110,AUTO,Trucks & Parts-Hvy Duty,95.17,-1.1,-0.93,1157,-0.6,58,82,C+,A,B-,82
111,TS,Tenaris Sa Adr,111,METALS,Steel-Producers,25.64,-0.4,-0.07,1784,-8.7,69,95,C+,D,B,87
112,PH,Parker-Hannifin Corp,112,MACHINE,Machinery-Gen Industrial,312.44,-2.3,-7.27,1204,159.4,94,82,C+,A,D-,87
112,TNC,Tennant Co,112,MACHINE,Machinery-Gen Industrial,75.45,-0.9,-0.71,12,-71.4,86,56,C+,C,C+,75
115,THR,Thermon Group Holdings,115,BUILDING,Bldg-A/C & Heating Prds,17.96,2.9,0.5,108,37.7,48,65,C,D,D,63
117,CLX,Clorox Co,117,CONSUMER,Soap & Clng Preparatns,165.08,-1.1,-1.91,843,-11.7,41,45,C,B,C-,51
119,ADNT,Adient Plc,119,AUTO,Auto/Truck-Original Eqp,42.74,-1.8,-0.78,735,30.4,22,74,C,C,D-,52
119,ALSN,Allison Transmission Hld,119,AUTO,Auto/Truck-Original Eqp,39.22,0.2,0.08,384,-51.8,91,72,C,A,C-,83
119,ALV,Autoliv Inc,119,AUTO,Auto/Truck-Original Eqp,100.98,-1.9,-1.97,284,-34.2,24,77,C,B,C+,62
127,AMOT,Allied Motion Tech,127,MACHINE,Electrical-Power/Equipmt,35.58,-4,-1.47,16,-37.2,89,85,C-,C,C+,81
133,ASTE,Astec Industries Inc,133,MACHINE,Machinery-Constr/Mining,62.1,-1.2,-0.84,74,19.9,57,74,C-,C,B-,66
135,CPA,Copa Holdings Sa,135,TRANSPRT,Transportation-Airline,81.91,-2.2,-1.84,142,-56.5,60,86,C-,D,C-,73
135,RYAAY,Ryanair Hldgs Plc Adr,135,TRANSPRT,Transportation-Airline,117.16,-0.7,-0.87,309,-10.9,57,77,C-,D,B-,72
138,DE,Deere & Co,138,AGRICULTRE,Machinery-Farm,371.55,-0.8,-2.93,656,-51.2,97,85,C-,A,B-,92
140,OMC,Omnicom Group,140,BUSINS SVC,Comml Svcs-Advertising,77.65,0.6,0.49,1443,14.1,69,86,C-,B,B-,76
141,ST,Sensata Technologies Hdg,141,ELECTRNCS,Elec-Misc Products,55.92,-2.5,-1.41,867,26.7,54,65,D+,A,C,62
146,NSIT,Insight Enterprises Inc,146,RETAIL,Wholesale-Electronics,93.44,-0.9,-0.68,84,-23.5,91,60,D+,C,C+,79
148,DLA,Delta Apparel Inc,148,APPAREL,Apparel-Clothing Mfg,30.47,-3.4,-1.06,10,-43.4,85,89,D+,B,B+,84
155,RUSHA,Rush Enterprises Cl A,155,RETAIL,Retail/Whlsle-Automobile,51.51,-1.5,-0.81,188,55.3,98,84,D,D,A-,87
160,AU,Anglogold Ashanti Ads,160,MINING,Mining-Gold/Silver/Gems,18.71,-1.9,-0.37,1946,-13.8,77,42,D,A,B-,61
160,GFI,Gold Fields Ltd Adr,160,MINING,Mining-Gold/Silver/Gems,10.36,-1.8,-0.2,6523,12.9,69,87,D,A,D+,79
160,HMY,Harmony Gold Mng Co Adr,160,MINING,Mining-Gold/Silver/Gems,3.58,-0.7,-0.03,3620,-25.2,69,34,D,A,D-,56
160,NEM,Newmont Corporation,160,MINING,Mining-Gold/Silver/Gems,61.83,-0.5,-0.28,3064,-41.2,79,79,D,B,C+,73
161,IRTC,Irhythm Technologies Inc,161,MEDICAL,Medical-Services,121.51,-3.4,-4,112,-65.6,8,97,D,D,A-,58
170,AMGN,Amgen Inc,170,MEDICAL,Medical-Biomed/Biotech,224.59,-2.1,-4.34,1938,7.3,69,65,D-,A,C,67
170,INCY,Incyte Corporation,170,MEDICAL,Medical-Biomed/Biotech,73.08,-1.8,-1.31,785,-41.6,46,56,D-,C,B,59
170,KPTI,Karyopharm Therapeutics,170,MEDICAL,Medical-Biomed/Biotech,9.01,-0.2,-0.02,1377,-6.2,25,74,D-,E,A+,54
170,KROS,Keros Therapeutics Inc,170,MEDICAL,Medical-Biomed/Biotech,43.51,-7,-3.3,52,-51.9,13,81,D-,E,B,41
170,PCRX,Pacira Biosciences Inc,170,MEDICAL,Medical-Biomed/Biotech,63.1,0.1,0.03,413,19.9,93,77,D-,A,B,87
170,VRTX,Vertex Pharmaceuticals,170,MEDICAL,Medical-Biomed/Biotech,244.98,-3.5,-8.6,1701,21.3,97,95,D-,A,A,96
172,BAX,Baxter International Inc,172,MEDICAL,Medical-Products,85.8,0.2,0.25,2464,69.1,85,82,D-,B,C-,77
172,VIVO,Meridian Bioscience Inc,172,MEDICAL,Medical-Products,21.44,-2.6,-0.57,346,-10.3,70,85,D-,A,B,80
193,MDRX,Allscripts Hlthcare Sol,193,SOFTWARE,Computer Sftwr-Medical,20.94,0.9,0.2,2605,128.3,83,97,E,D,B,80
