Ind Group Rank,Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
15,LBAI,Lakeland Bancorp Inc,15,BANKS,Banks-Northeast,18.67,-0.6,-0.12,99,-19.8,90,87,A+,C,A+,93
15,MTB,M & T Bank Corp,15,BANKS,Banks-Northeast,174.95,-0.5,-0.87,1317,43.7,67,92,A+,C,C,84
15,NBTB,N B T Bancorp,15,BANKS,Banks-Northeast,38.43,0,-0.03,87,26.1,74,79,A+,B,D,84
15,ORRF,Orrstown Financial Svcs,15,BANKS,Banks-Northeast,24.25,0.6,0.14,10,-21.7,77,82,A+,C,D-,83
15,PFS,Provident Financial Svcs,15,BANKS,Banks-Northeast,23.97,0.5,0.15,185,21.7,59,79,A+,B,B-,83
15,VLY,Valley National Bancorp,15,BANKS,Banks-Northeast,13.81,-0.1,-0.02,1187,-14.2,79,81,A+,C,B-,88
15,WBS,Webster Financial Corp,15,BANKS,Banks-Northeast,59.4,-0.1,0.02,1238,59.2,86,87,A+,C,D+,87
16,ASB,Associated Banc Corp,16,BANKS,Banks-Midwest,24.59,0.1,0.04,793,9,77,90,A+,C,B-,86
16,ATLO,Ames National Corp,16,BANKS,Banks-Midwest,24.67,-0.1,-0.01,7,-35.7,82,74,A+,C,B+,89
16,BUSE,First Busey Corp,16,BANKS,Banks-Midwest,27.78,-0.1,0,94,-3.2,56,89,A+,C,B+,85
16,CFB,Crossfirst Bankshares,16,BANKS,Banks-Midwest,15.79,1.4,0.23,93,53.7,99,88,A+,C,B+,95
16,EFSC,Enterprise Finl Services,16,BANKS,Banks-Midwest,50.2,0.3,0.16,100,-11.8,66,86,A+,B,A-,97
16,FMBI,First Midwest Bancorp Il,16,BANKS,Banks-Midwest,20.86,0.2,0.04,506,62.8,58,85,A+,C,D+,75
16,FMNB,Farmers Natl Banc Corp,16,BANKS,Banks-Midwest,17.35,-0.2,-0.04,43,-7.7,88,84,A+,A,D,92
16,FRME,First Merchants Corp Mun,16,BANKS,Banks-Midwest,42.86,0.5,0.21,97,-14.8,78,65,A+,C,C,78
16,GABC,German American Bancorp,16,BANKS,Banks-Midwest,39.6,-0.1,-0.03,25,16.2,78,69,A+,B,B,85
16,GSBC,Great Southern Bancorp,16,BANKS,Banks-Midwest,59.5,0.5,0.3,39,55.3,69,84,A+,C,B+,86
16,HBT,H B T Financial Inc,16,BANKS,Banks-Midwest,19.31,1.4,0.26,7,-30.1,58,87,A+,B,B+,87
16,HTLF,Heartland Financial Usa,16,BANKS,Banks-Midwest,49.73,0.2,0.08,59,-12.1,66,74,A+,B,C,81
16,IBCP,Independent Bank Corp Mi,16,BANKS,Banks-Midwest,24.22,-0.3,-0.07,53,-6.8,70,86,A+,B,D,84
16,MCBC,Macatawa Bank Corp,16,BANKS,Banks-Midwest,9.01,-0.3,-0.03,20,-76.8,59,77,A+,C,A-,83
16,MOFG,Midwestone Financial Grp,16,BANKS,Banks-Midwest,31.35,0.1,0.02,12,-12.6,75,72,A+,C,B,86
16,MSBI,Midland States Bancorp,16,BANKS,Banks-Midwest,29,0.2,0.07,47,-3.7,87,92,A+,B,A-,96
16,NCBS,Nicolet Bankshares Inc,16,BANKS,Banks-Midwest,94.19,-0.5,-0.44,43,-32.8,60,95,A+,B,A,98
16,ONB,Old Natl Bancorp Ind,16,BANKS,Banks-Midwest,18.4,0.1,0.03,1061,2.8,61,77,A+,C,C,77
16,OSBC,Old Second Bancorp Inc,16,BANKS,Banks-Midwest,13.88,1.2,0.17,95,-3.9,81,86,A+,B,A-,95
16,SRCE,First Source Corp,16,BANKS,Banks-Midwest,49.45,0.1,0.07,17,-21.5,84,81,A+,C,B-,88
16,THFF,First Financial Corp Ind,16,BANKS,Banks-Midwest,44.02,0.2,0.14,65,37,69,74,A+,C,B-,81
18,GSBD,Goldman Sachs B D C Inc,18,FINANCE,Finance-Commercial Loans,20.32,-1.3,-0.27,434,3.1,76,85,A,A,B+,97
20,NGVC,Nat Grocers Vit Cottage,20,RETAIL,Retail-Super/Mini Mkts,14.01,-5.8,-0.87,57,35.1,87,86,A,C,B+,92
20,SFM,Sprouts Farmers Market,20,RETAIL,Retail-Super/Mini Mkts,28.62,1.9,0.53,1101,-27.4,77,93,A,C,B-,90
22,BAP,Credicorp Ltd,22,BANKS,Banks-Foreign,133.95,-3.1,-4.4,376,32.5,67,88,A,E,C+,85
22,BCH,Banco De Chile Adr,22,BANKS,Banks-Foreign,19.39,-4.1,-0.82,98,2.8,79,81,A,B,A-,98
22,IFS,Intercorp Financial Svcs,22,BANKS,Banks-Foreign,30.5,-4.1,-1.29,28,-56.8,68,94,A,D,B+,90
22,KB,K B Financial Group Adr,22,BANKS,Banks-Foreign,49.86,-2.3,-1.16,166,12.3,75,90,A,B,C-,89
22,NTB,Bank Of N T Butterfield,22,BANKS,Banks-Foreign,37.42,0.2,0.08,70,-32.7,69,77,A,C,B-,80
23,WBA,Walgreens Boots Alliance,23,RETAIL,Retail-Drug Stores,49.56,-1.6,-0.85,3530,-19.4,74,72,A,C,D-,77
25,ABTX,Allegiance Bancshares,25,BANKS,Banks-West/Southwest,42.05,-0.5,-0.21,27,-19.4,88,85,A,B,D,87
25,BANF,Bancfirst Corp,25,BANKS,Banks-West/Southwest,75.5,0.3,0.26,57,4.2,82,92,A,B,B-,94
25,BOH,Bank Of Hawaii Corp,25,BANKS,Banks-West/Southwest,85.72,0.3,0.29,102,4.3,82,65,A,B,D+,77
25,BSRR,Sierra Bancorp,25,BANKS,Banks-West/Southwest,26.58,0.2,0.05,15,-32.9,78,81,A,B,D+,84
25,CBTX,Cbtx Inc,25,BANKS,Banks-West/Southwest,28.51,-0.1,-0.03,50,-24.6,49,72,A,C,B,71
25,CPF,Central Pacific Finl Cp,25,BANKS,Banks-West/Southwest,28.81,0.7,0.2,88,12.3,86,86,A,B,C+,89
25,CVBF,C V B Financial Corp,25,BANKS,Banks-West/Southwest,22.49,0.6,0.18,809,127.6,63,85,A,C,B-,80
25,FHB,First Hawaiian Inc,25,BANKS,Banks-West/Southwest,28.56,-0.2,-0.06,241,-35.4,52,79,A,C,B-,74
25,HOPE,Hope Bancorp Inc,25,BANKS,Banks-West/Southwest,16.67,0.3,0.06,470,6.2,80,93,A,C,C-,86
25,HTBK,Heritage Commerce Corp,25,BANKS,Banks-West/Southwest,12.15,-0.4,-0.05,69,-35.9,63,85,A,B,B,89
25,IBTX,Independent Bank Group,25,BANKS,Banks-West/Southwest,76.72,-0.4,-0.32,81,-32.6,62,84,A,C,B-,81
25,NRIM,Northrim Bancorp Inc,25,BANKS,Banks-West/Southwest,43.05,-0.9,-0.4,9,-22.7,64,79,A,B,D+,82
25,SBSI,Southside Bancshares Inc,25,BANKS,Banks-West/Southwest,41.84,-0.3,-0.11,23,-40,64,85,A,C,B-,84
25,TCBK,Trico Bancshares,25,BANKS,Banks-West/Southwest,43.9,-0.3,-0.1,32,-9.1,84,72,A,B,B-,85
25,UBFO,United Security Bncsh Ca,25,BANKS,Banks-West/Southwest,8.23,-0.3,-0.03,11,-19.4,68,81,A,B,B+,94
25,WABC,Westamerica Bancorp,25,BANKS,Banks-West/Southwest,58.13,0.4,0.26,37,-9.7,63,65,A,B,B-,78
26,ADM,Archer Daniels Midland,26,FOOD/BEV,Food-Grain & Related,75.68,-1.3,-1.01,1491,-13.3,85,95,A,B,B-,97
26,INGR,Ingredion Inc,26,FOOD/BEV,Food-Grain & Related,87.52,-9.1,-8.71,763,239.8,60,82,A,B,D+,83
28,BHP,B H P Group Ltd Adr,28,MINING,Mining-Metal Ores,65.86,0.5,0.34,6448,65.6,97,79,A,A,C,98
28,HBM,Hudbay Minerals Inc,28,MINING,Mining-Metal Ores,7.21,-0.7,-0.05,536,-38.9,69,82,A,D,D-,81
28,MSB,Mesabi Trust,28,MINING,Mining-Metal Ores,30.12,-0.1,-0.04,31,-63.5,94,93,A,A,B-,97
28,RIO,Rio Tinto Plc Adr,28,MINING,Mining-Metal Ores,73.66,-0.9,-0.63,4334,25.2,99,79,A,A,D+,98
28,SCCO,Southern Copper Corp,28,MINING,Mining-Metal Ores,63.36,-1.1,-0.67,701,-7.2,95,65,A,A,D+,95
28,TRQ,Turquoise Hill Resources,28,MINING,Mining-Metal Ores,17.66,-1.8,-0.3,278,-66.3,27,97,A,B,B+,86
29,MRTN,Marten Transport Ltd,29,TRANSPRT,Transportation-Truck,17.51,-0.7,-0.12,229,14.8,92,79,A,B,B-,97
31,DB,Deutsche Bk Ag Adr,31,BANKS,Banks-Money Center,15.14,5,0.73,8711,171.6,55,90,A,C,B-,85
31,HSBC,H S B C Holdings Plc Adr,31,BANKS,Banks-Money Center,36.93,-0.8,-0.31,2310,3.6,71,96,A,C,B+,96
31,LYG,Lloyds Banking Group Adr,31,BANKS,Banks-Money Center,2.86,-1.2,-0.04,10718,35.5,98,93,A,E,C,93
31,SMFG,Sumitomo Mitsui Finl Adr,31,BANKS,Banks-Money Center,7.28,-2.7,-0.21,2122,51.5,52,87,A,D,B,80
34,AIT,Applied Industrial Tech,34,RETAIL,Retail/Whlsle-Bldg Prds,98.28,-1.1,-1.13,57,-5.7,91,85,A-,B,B-,95
34,BECN,Beacon Roofing Supply,34,RETAIL,Retail/Whlsle-Bldg Prds,54.26,-1.4,-0.78,228,-16.6,82,81,A-,C,D-,84
35,NMIH,N M I Holdings Inc Cl A,35,FINANCE,Finance-Mrtg&Rel Svc,24.75,-0.5,-0.13,366,-22.3,96,86,A-,A,B+,99
36,AUB,Atlantic UnionBankshares,36,BANKS,Banks-Southeast,40.14,0.1,0.14,221,11.8,66,85,A-,C,B,83
36,CARE,Carter Bankshares Inc,36,BANKS,Banks-Southeast,15.33,0.5,0.08,36,-15,97,91,A-,D,B-,92
36,CCBG,Capital City Bk Gp,36,BANKS,Banks-Southeast,27.58,-0.1,-0.02,12,3.5,73,84,A-,C,A-,89
36,CHCO,City Holding Co,36,BANKS,Banks-Southeast,79.72,0.7,0.54,26,-13,76,72,A-,C,E,73
36,CTBI,Community Trust Bancorp,36,BANKS,Banks-Southeast,43.66,0,0.07,22,-10.8,84,74,A-,B,E,79
36,FHN,First Horizon Corp,36,BANKS,Banks-Southeast,17.42,0,0.01,4026,16.2,74,79,A-,A,C,84
36,SBCF,Seacoast Banking Corp Fl,36,BANKS,Banks-Southeast,35.82,-1.3,-0.44,225,28.2,77,79,A-,B,B,88
36,SNV,Synovus Financial Corp,36,BANKS,Banks-Southeast,50.04,-0.8,-0.39,423,-30.5,83,88,A-,B,C,86
36,SSB,Southstate Corp,36,BANKS,Banks-Southeast,84.75,-0.4,-0.19,143,-36,72,85,A-,A,C,87
36,TRMK,Trustmark Corp,36,BANKS,Banks-Southeast,32.3,-0.1,-0.04,85,-39.2,50,74,A-,C,C+,70
36,UCBI,United Community Banks,36,BANKS,Banks-Southeast,35.69,-0.7,-0.22,407,-7.1,77,85,A-,B,D+,84
36,WSBC,Wesbanco Inc,36,BANKS,Banks-Southeast,36.09,0.1,0.04,168,-0.6,53,79,A-,C,D+,71
38,KSS,Kohls Corp,38,RETAIL,Retail-Department Stores,58.89,1.6,0.91,2988,-36.2,69,84,A-,D,B+,91
39,FUN,Cedar Fair Lp,39,LEISURE,Leisure-Services,58.75,0.3,0.2,730,85.9,57,96,A-,B,A,97
39,TNL,Travel + Leisure Co,39,LEISURE,Leisure-Services,55.56,-1,-0.55,199,-49.3,65,74,A-,-,B-,77
39,VAC,Marriott Vacations Wrld,39,LEISURE,Leisure-Services,161.03,-1.5,-2.33,103,-51.9,69,81,A-,C,B-,87
40,BRKL,Brookline Bancorp Inc,40,S&Ls,Finance-Savings & Loan,17.18,0.9,0.16,115,-12.4,68,88,A-,C,B,84
40,FFBC,First Finl Bancorp Ohio,40,S&Ls,Finance-Savings & Loan,25.21,-0.2,-0.04,203,37,76,85,A-,C,C+,82
40,NECB,Northeast Cmnty Bancorp,40,S&Ls,Finance-Savings & Loan,11.53,-0.3,-0.03,27,-33.9,68,82,A-,C,A-,84
40,NWBI,Northwest Bancshares Inc,40,S&Ls,Finance-Savings & Loan,13.86,0.4,0.06,493,11.3,56,69,A-,C,B-,71
40,OCFC,Oceanfirst Financial Cp,40,S&Ls,Finance-Savings & Loan,22.66,0,0.01,294,101.7,72,79,A-,C,A-,84
40,TRST,Trustco Bank Corp Ny,40,S&Ls,Finance-Savings & Loan,34.17,1.1,0.37,27,-16.3,76,60,A-,C,D-,69
40,WSFS,W S F S Financial Corp,40,S&Ls,Finance-Savings & Loan,52.48,1.2,0.64,292,24.8,60,81,A-,C,D-,73
44,OMAB,Grupo Aero Cent Nort Ads,44,REAL EST,Real Estate Dvlpmt/Ops,55.79,-0.1,-0.03,18,-63.4,69,95,A-,A,A-,99
46,RF,Regions Financial Corp,46,BANKS,Banks-Super Regional,23.59,-0.9,-0.21,6436,-10.6,65,86,A-,C,C-,78
47,DNOW,Now Inc,47,ENERGY,Oil&Gas-Machinery/Equip,9.13,0.3,0.03,545,-21.5,69,74,A-,E,C+,74
47,NOV,N O V Inc,47,ENERGY,Oil&Gas-Machinery/Equip,17.61,0.5,0.11,4668,62.4,25,94,A-,E,A-,71
48,L,Loews Corp,48,INSURANCE,Insurance-Diversified,61.21,-0.3,-0.18,216,-46.1,77,90,A-,C,B-,86
