Symbol
CF
AA
DVN
FANG
CNQ
CPG
ERF
VET
ARLP
ARCH
NRP
HCC
APA
COP
GPRK
KOS
MUR
OXY
OVV
VIST
AR
BATL
MNRL
CRC
CDEV
CIVI
CLR
DMLP
EOG
ESTE
EPSN
EPM
KRP
MGY
MTDr
NOG
OAS
PDCE
PXD
SM
VNOM
WLL
CVE
CVX
E
EQNR
XOM
IMO
MRO
PTr
TTE
VALU
GRIN
MATX
ZIM
HAL
RNGR
BCBP
CAC
CLBK
EGBN
FNLC
NBN
PKBK
PGC
UNTY
UVSP
WASH
MUSA
UAN
MOS
ASB
CFB
FMAO
INBK
HBNC
LKFN
MBWM
WTFC
CAPL
MPC
SUN
TRGP
KO
BANR
BCML
CATY
CFR
EWBC
FNWB
HAFC
NBHC
PCB
PFBC
SPFI
UMPQ
WAFD
ZION
CCB
CGBD
VAL
LNG
CQP
DTM
ENLC
GPP
HESM
MPLX
RTLR
WES
AMTB
AUB
OZK
FBP
HWC
HTBI
OFG
BPOP
PFHD
SMMF
CVS
ANDE
ABC
MCK
BHLB
CZWI
RBB
SBT
BMO
BK
BNS
BCS
MS
NWG
RY
TD
UBS
WFC
CIB
CM
ING
IBN
CMA
KEY
PNC
TFC
BPT
MVO
NRT
PRT
SBR
VOC
AIG
HIG
AFL
H
MAR
TECK
SNFCA
VEL
JNPR
BCE
PTNR
PHI
CLS
UNP
TTM
TM
HSY
SCHW
LPLA
AEG
AEL
PRU
SLF
ACGL
CB
RE
MBI
TRV
UVE
CNP
ED
EXC
FTS
NGG
PCG
PEG
HUN
BKR
WHD
PLAB
CIGI
BRT
BRX
CPLG
EQR
IVT
KIM
APTS
PSA
WSR
@ES
FE
OGE
PPL
PAM
POR
SO
VST
SEE
BTAQ
OCAX
VTAQ
ECPG
CPSS
TGH
MEOH
TSN
FLO
GIS
TWNK
PEP
ARCC
BIPC
SAMG
SPLP
IPAR
KMB
PG
ANTM
GD
NOC
ABBV
ARTNA
GSK
FNGD
LABD
XLE
SRTY
XLP
KEN
VRNT
HMHC
SCHL
CTSH
IMTE
CSGS
WPP
SYNL
CHD
IRTC
BDX
AMPH
ITCI
LQDA
MYNZ
RXDX
TCDA
UTHR
VRRM
AIRS
ELMD
SRTS
CDRe
$MNG.X
$XAX.X
$XOI.X
NRGU
DBC
ERX
USO
DWAC
CYXT
HPK
BRKS
axon
