Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
VIST,Vista Oil & Gas SAB deCV,4,ENERGY,Oil&Gas-Intl Expl&Prod,6.33,-1,-0.07,278,-20.6,69,99,A+,D,B,95
CF,C F Industries Holdings,5,AGRICULTRE,Chemicals-Agricultural,73.5,-1.4,-1.06,1922,-25.7,95,98,A+,B,A,99
MOS,Mosaic Company,5,AGRICULTRE,Chemicals-Agricultural,42.94,-2.8,-1.24,5160,34.6,77,96,A+,B,B,99
UAN,C V R Partners Lp,5,AGRICULTRE,Chemicals-Agricultural,105.51,0,0.5,51,-10.6,69,99,A+,D,B,95
CVE,Cenovus Energy Inc,6,ENERGY,Oil&Gas-Integrated,15.42,1.1,0.16,10289,13,69,99,A+,C,B,98
CVX,Chevron Corp,6,ENERGY,Oil&Gas-Integrated,134.21,-0.9,-1.2,8195,-20.3,69,96,A+,A,B,99
E,Eni Spa Ads,6,ENERGY,Oil&Gas-Integrated,30.53,0.3,0.1,357,5.2,69,94,A+,C,B+,96
EQNR,Equinor ASA Adr,6,ENERGY,Oil&Gas-Integrated,28.65,0.5,0.13,3777,25,68,96,A+,B,C+,98
IMO,Imperial Oil Ltd,6,ENERGY,Oil&Gas-Integrated,43.09,0.1,0.06,501,33,69,98,A+,B,A,99
MRO,Marathon Oil Corporation,6,ENERGY,Oil&Gas-Integrated,20.87,-0.5,-0.1,14037,-12.6,69,99,A+,C,A-,97
PBR,Petroleo Bras Sa Ptr Adr,6,ENERGY,Oil&Gas-Integrated,13.36,-1.3,-0.18,32314,10.1,69,98,A+,B,A-,99
PTR,Petrochina Co Ltd Adr,6,ENERGY,Oil&Gas-Integrated,50.95,0.2,0.12,92,-37.9,35,95,A+,C,B+,94
TTE,Totalenergies S E Adr,6,ENERGY,Oil&Gas-Integrated,57.21,-0.1,-0.09,2093,-1.1,76,95,A+,C,B,98
