Symbol
BATL
SNP
EGLE
GOGL
RNGR
CFB
CCEP
FINW
PCB
CCB
EPD
KMI
PFHD
CAH
SMFG
PRT
BHp
BBL
MSB
RIO
SCCO
TRQ
VALE
NMIH
RCI
VOD
RJF
ALL
THG
AVA
DTE
SRE
UTL
XEL
LYB
WLKP
CIGI
LTC
MO
BTI
PM
AEP
HE
PKg
SUZ
FIS
MGI
MAN
BUD
TAP
SBEV
CPB
CAG
SPLP
@CL
NUS
LMT
BMY
NVS
SNY
HIBS
TZA
PSQ
QID
SYY
CHKP
NLOK
CINT
IBM
REFI
CMTG
DISCA
OMC
ATI
ALSN
GGB
DLA
T
VZ
BBQ
AMGN
AURA
BCRX
BNOX
INCY
MYNZ
LAUR
NEM
FICO
CTXS
AIRS
BCO
DVA
GPN
MA
