Symbol,Name,Sector,Industry Name,Ind Group Rank,Exchange,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
BAK,Braskem Sa Adr,CHEMICAL,Chemicals-Basic,49,NYSE,19.51,-1.3,-0.26,372,9.5,69,97,B+,D,C,88
CE,Celanese Corp,CHEMICAL,Chemicals-Basic,49,NYSE,159.45,1.1,1.75,491,7.9,92,72,B+,A,C,92
CINR,Ciner Resources LP,CHEMICAL,Chemicals-Basic,49,NYSE,22.13,2,0.43,33,95.8,67,98,B+,C,B+,97
CMP,Compass Minerals Intl,CHEMICAL,Chemicals-Basic,49,NYSE,55.63,2.2,1.19,369,29.9,20,24,B+,D,C,29
DD,DuPont de Nemours Inc,CHEMICAL,Chemicals-Basic,49,NYSE,79.28,1.8,1.39,1765,-3.8,70,69,B+,C,D-,79
ECVT,Ecovyst Inc,CHEMICAL,Chemicals-Basic,49,NYSE,10.28,-0.2,-0.02,336,-20.9,79,28,B+,C,D+,62
GURE,Gulf Resources Inc,CHEMICAL,Chemicals-Basic,49,NASDAQ,4.6,0,0,0,-96.3,44,33,B+,C,D,49
HUN,Huntsman Corp,CHEMICAL,Chemicals-Basic,49,NYSE,36.56,0.5,0.19,652,-51.4,76,93,B+,B,B+,97
HWKN,Hawkins Inc,CHEMICAL,Chemicals-Basic,49,NASDAQ,37.01,-1.2,-0.46,30,19.1,88,87,B+,B,A-,96
LYB,Lyondellbasell Ind Nv,CHEMICAL,Chemicals-Basic,49,NYSE,100.48,0.9,0.95,1178,-27.8,80,75,B+,A,D-,85
NTIC,Northern Tech Intl Corp,CHEMICAL,Chemicals-Basic,49,NASDAQ,13.08,0.4,0.05,3,-48,38,25,B+,B,D+,46
SHI,Sinopec Shanghai Petrocm,CHEMICAL,Chemicals-Basic,49,NYSE,22.18,-0.8,-0.17,5,-57.6,37,65,B+,D,B,75
VNTR,Venator Materials PLC,CHEMICAL,Chemicals-Basic,49,NYSE,2.51,-0.4,-0.01,89,-54,69,19,B+,D,C-,46
WLK,Westlake Chemical Corp,CHEMICAL,Chemicals-Basic,49,NYSE,101.88,0.2,0.19,319,-15,76,87,B+,B,D-,90
WLKP,Westlake Chemical Prtnrs,CHEMICAL,Chemicals-Basic,49,NYSE,26.46,-1.2,-0.33,36,-31.7,65,75,B+,B,B+,88
ASIX,Advansix Inc,CHEMICAL,Chemicals-Plastics,79,NYSE,42.39,-0.1,-0.06,125,-10.1,81,94,B,B,D+,93
AVNT,Avient Corporation,CHEMICAL,Chemicals-Plastics,79,NYSE,50.8,0.4,0.18,227,-18.8,78,72,B,B,C-,87
CMT,Core Mlding Technologies,CHEMICAL,Chemicals-Plastics,79,AMEX,8.15,0,0,7,-60.7,30,16,B,B,E,32
DNMR,Danimer Scientific Inc,CHEMICAL,Chemicals-Plastics,79,NYSE,4.69,-10.2,-0.54,3356,10.9,69,1,B,D,E,23
DOW,Dow Inc,CHEMICAL,Chemicals-Plastics,79,NYSE,61.71,-0.1,-0.05,4151,-4.4,88,75,B,A,C-,89
EMN,Eastman Chemical Co,CHEMICAL,Chemicals-Plastics,79,NYSE,121.33,1.3,1.5,620,-30.6,63,85,B,B,B+,87
FFHL,Fuwei Films Holdings Co,CHEMICAL,Chemicals-Plastics,79,NASDAQ,7.43,1.7,0.12,0,-92.8,68,22,B,B,C+,57
KRA,Kraton Corporation,CHEMICAL,Chemicals-Plastics,79,NYSE,46.45,-0.3,-0.13,332,49.2,55,92,B,C,B+,91
LOOP,Loop Industries Inc,CHEMICAL,Chemicals-Plastics,79,NASDAQ,7.56,-7,-0.57,78,-17.9,23,18,B,-,D-,23
PCT,Purecycle Technologies,CHEMICAL,Chemicals-Plastics,79,NASDAQ,5.87,-4.6,-0.28,651,-18.9,40,4,B,-,D-,19
TG,Tredegar Corp,CHEMICAL,Chemicals-Plastics,79,NYSE,11.83,0.3,0.04,53,-53.9,56,30,B,B,D-,54
TSE,Trinseo Plc,CHEMICAL,Chemicals-Plastics,79,NYSE,54.27,-1.4,-0.75,233,-7.2,70,48,B,A,D+,71
ADES,Advanced Emissions Solut,CHEMICAL,Chemicals-Specialty,75,NASDAQ,6.6,3.1,0.2,113,50.4,74,85,B,C,C+,83
AGFS,Agrofresh Solutions Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,1.92,5.9,0.11,58,-6.3,33,37,B,E,C-,33
ALB,Albemarle Corp,CHEMICAL,Chemicals-Specialty,75,NYSE,221.87,-1.5,-3.33,411,-48.4,48,87,B,C,E,64
APD,Air Products & Chemicals,CHEMICAL,Chemicals-Specialty,75,NYSE,284.48,-0.1,-0.16,599,1.3,78,55,B,A,D,76
AQMS,Aqua Metals Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,1.05,-4.1,-0.05,311,-61.8,25,6,B,E,D-,15
ASH,Ashland Global Holdings,CHEMICAL,Chemicals-Specialty,75,NYSE,97.08,1.4,1.36,585,128.8,86,83,B,C,D-,82
ASPN,Aspen Aerogels Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,29.5,-1,-0.31,207,-9.7,24,65,B,E,E,33
ATC,Atotech Limited,CHEMICAL,Chemicals-Specialty,75,NYSE,24.56,0.2,0.05,656,20.3,69,85,B,D,B-,81
BCPC,Balchem Corp,CHEMICAL,Chemicals-Specialty,75,NASDAQ,142.84,-1.5,-2.24,221,223.8,72,83,B,B,B,85
CBT,Cabot Corp,CHEMICAL,Chemicals-Specialty,75,NYSE,63.34,2.1,1.28,677,250.6,61,91,B,A,B+,89
CC,The Chemours Company,CHEMICAL,Chemicals-Specialty,75,NYSE,33.89,1,0.32,953,8.1,85,88,B,A,B-,94
CCF,Chase Corp,CHEMICAL,Chemicals-Specialty,75,AMEX,96.62,0.6,0.53,34,189.1,58,32,B,B,C+,62
CDXC,Chromadex Corporation,CHEMICAL,Chemicals-Specialty,75,NASDAQ,2.61,-9.1,-0.26,984,202.3,11,5,B,E,E,10
CNEY,CN Energy Group Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,1.91,-3,-0.06,14,-96.9,70,1,B,A,D-,40
CSWI,C S W Industrials Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,112.58,-0.2,-0.24,71,199.8,89,28,B,A,C,73
ESI,Element Solutions Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,23.5,2.5,0.58,1163,33.7,96,75,B,A,B-,94
FF,Futurefuel Corp,CHEMICAL,Chemicals-Specialty,75,NYSE,7.67,-0.9,-0.07,139,10,37,29,B,A,D+,45
FOE,Ferro Corp,CHEMICAL,Chemicals-Specialty,75,NYSE,21.83,0.1,0.03,365,26.3,74,92,B,B,B+,94
FSI,Flexible Solutions Intl,CHEMICAL,Chemicals-Specialty,75,AMEX,3.33,-2.5,-0.09,3,-85.3,88,48,B,B,C+,77
FUL,Fuller H B Co,CHEMICAL,Chemicals-Specialty,75,NYSE,71.95,0.1,0.07,282,41.3,60,86,B,B,E,73
GEVO,Gevo Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,3.23,-8.6,-0.31,6573,-6.4,39,7,B,E,B,23
IOSP,Innospec Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,92.44,-1.1,-1.03,62,-4,78,69,B,C,D-,77
KOP,Koppers Holdings Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,30.84,0.2,0.05,38,-19.1,52,33,B,B,C+,54
KRO,Kronos Worldwide Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,14.55,0.1,0.02,68,-37.5,82,69,B,C,B-,83
KWR,Quaker Houghton,CHEMICAL,Chemicals-Specialty,75,NYSE,208,0.1,0.12,25,-32,75,25,B,C,C,59
LIN,Linde plc,CHEMICAL,Chemicals-Specialty,75,NYSE,322.22,0.3,0.81,1198,6.6,89,85,B,B,D,88
LTHM,Livent Corporation,CHEMICAL,Chemicals-Specialty,75,NYSE,22.92,-1.9,-0.44,1148,-42.2,69,79,B,C,D-,71
LXFR,Luxfer Holdings Plc,CHEMICAL,Chemicals-Specialty,75,NYSE,16.66,-2.3,-0.4,63,31.2,69,28,B,B,B-,62
MEOH,Methanex Corp,CHEMICAL,Chemicals-Specialty,75,NASDAQ,46.31,-1.2,-0.57,402,26.3,74,93,B,A,B,93
MTX,Minerals Technologies,CHEMICAL,Chemicals-Specialty,75,NYSE,70.35,-0.3,-0.22,74,2.4,82,44,B,C,C+,76
NEU,Newmarket Corp,CHEMICAL,Chemicals-Specialty,75,NYSE,342.75,1.6,5.32,20,-47,62,52,B,B,B-,69
NGVT,Ingevity Corporation,CHEMICAL,Chemicals-Specialty,75,NYSE,66.45,-0.1,-0.05,143,18.7,87,27,B,A,B-,68
OEC,Orion Engineered Carbns,CHEMICAL,Chemicals-Specialty,75,NYSE,18.61,2.4,0.43,244,56.1,72,48,B,A,B,80
OLN,Olin Corp,CHEMICAL,Chemicals-Specialty,75,NYSE,51.19,-0.1,-0.03,1430,8.5,69,92,B,A,C-,89
PRM,Perimeter Solutions SA,CHEMICAL,Chemicals-Specialty,75,NYSE,13.38,2.7,0.35,398,-28.4,27,85,B,D,C-,65
RYAM,Rayonier Advanced Matls,CHEMICAL,Chemicals-Specialty,75,NYSE,6.19,-0.1,-0.01,135,-26.5,30,23,B,D,D-,32
SCL,Stepan Co,CHEMICAL,Chemicals-Specialty,75,NYSE,108.45,-1.6,-1.72,26,-20.9,63,32,B,B,D+,65
SLCA,U S Silica Holdings Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,9.96,-2.2,-0.23,610,11.1,12,65,B,D,B,51
SND,Smart Sand Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,1.95,-3.5,-0.07,60,-2.3,8,30,B,D,D+,31
SOI,Solaris Oilfield Infra,CHEMICAL,Chemicals-Specialty,75,NYSE,7.85,-2,-0.16,101,-17.4,50,35,B,C,B-,52
TANH,Tantech Holdings Ltd,CHEMICAL,Chemicals-Specialty,75,NASDAQ,0.31,0.6,0,615,-75.9,8,2,B,E,D-,3
TROX,Tronox Holdings plc,CHEMICAL,Chemicals-Specialty,75,NYSE,23.38,-1.4,-0.33,615,-19.1,97,89,B,C,C-,97
UNVR,Univar Solutions Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,28.04,0.8,0.23,490,-21.8,89,90,B,C,C-,94
VHI,Valhi Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,26.59,0.8,0.2,20,20.4,70,92,B,C,D,83
VVV,Valvoline Inc,CHEMICAL,Chemicals-Specialty,75,NYSE,33.57,0.4,0.14,550,-20.6,81,84,B,A,C-,89
WDFC,W D 40 Co,CHEMICAL,Chemicals-Specialty,75,NASDAQ,220.89,-0.6,-1.29,33,-40.4,48,33,B,B,C,46
WULF,TeraWulf Inc,CHEMICAL,Chemicals-Specialty,75,NASDAQ,12.73,-1,-0.13,76,-17.5,9,25,B,D,D,25
AIP,Arteris Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,15.67,0.4,0.07,72,-12.1,16,24,A-,-,C-,33
AMBA,Ambarella Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,141.27,0.1,0.2,272,-62.3,65,91,A-,B,D+,90
AMD,Advanced Micro Devices,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,122.85,5.2,6.07,171261,180.7,98,89,A-,A,D-,95
AOSL,Alpha & Omega Semicondtr,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,46.61,-0.5,-0.23,385,-30.4,98,98,A-,A,B-,98
AVGO,Broadcom Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,602.87,1.7,10.15,1712,-8.6,88,93,A-,A,B-,96
CAN,Canaan Inc Cl A Ads,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,4.34,-3.8,-0.17,1385,-59.5,69,11,A-,D,B-,47
CEVA,Ceva Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,37.28,2,0.74,113,57.3,64,19,A-,B,B,60
CRUS,Cirrus Logic Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,85.86,3.5,2.92,920,132.2,69,72,A-,A,C+,88
EBON,Ebang Intl Hldgs Cl A,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,1.2,3,0.04,3515,30.2,47,5,A-,E,C+,32
GSIT,G S I Technology Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,4.61,1.5,0.07,17,-52,34,22,A-,E,C-,38
HIMX,Himax Technologies Ads,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,10.75,-0.4,-0.05,2173,-42.1,69,37,A-,A,D+,75
LSCC,Lattice Semiconductor,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,57.52,1.4,0.81,830,14.2,95,65,A-,A,D,92
MPWR,Monolithic Power Systems,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,412.83,1.6,6.49,344,34.8,95,42,A-,A,C-,86
MRVL,Marvell Technology Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,73.57,1.6,1.15,7679,-11.8,78,95,A-,A,C,99
MXL,Maxlinear Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,60.68,0.9,0.54,646,55.7,71,96,A-,A,B-,98
NVDA,Nvidia Corp,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,251.96,2.3,5.58,48305,5.7,97,96,A-,A,E,97
NVTS,Navitas Semiconductor,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,9.78,-5,-0.51,521,-61.4,6,32,A-,-,E,26
NXPI,Nxp Semiconductors N V,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,209.79,0.8,1.59,1745,11.4,70,79,A-,A,B-,90
OIIM,O 2Micro Intl Ads,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,4.1,-1.1,-0.05,49,-70.8,28,11,A-,B,D,33
PRSO,Peraso Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,2.7,-3.2,-0.09,82,-52.1,21,13,A-,E,C+,24
PXLW,Pixelworks Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,3.45,0.1,0.01,1191,75,44,52,A-,E,D+,51
QCOM,Qualcomm Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,188.21,6.3,11.08,18511,156.8,85,94,A-,A,B-,98
QUIK,Quicklogic Corp,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,4.75,-3.8,-0.19,35,-37.1,45,39,A-,E,D-,45
RMBS,Rambus Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,25.8,0.9,0.24,487,-27,69,91,A-,B,D,96
SITM,Sitime Corporation,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,234.66,-0.7,-1.59,177,-30.6,82,98,A-,A,B+,98
SLAB,Silicon Laboratories Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,170.53,3.1,5.11,633,180.5,34,75,A-,C,E,72
SMTC,Semtech Corporation,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,72.99,1.5,1.09,244,-12.3,85,55,A-,A,C-,87
SQNS,Sequans Comm Ads,CHIPS,Elec-Semicondctor Fablss,37,NYSE,4.28,-2.2,-0.1,21,-76,42,21,A-,-,E,30
VLN,Valens Semiconductor Ltd,CHIPS,Elec-Semicondctor Fablss,37,NYSE,6.23,-1.7,-0.11,21,-46.6,22,15,A-,E,E,30
XLNX,Xilinx Inc,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,208.67,5.2,10.35,7376,211.2,87,96,A-,A,C,98
XPER,Xperi Holding Corp,CHIPS,Elec-Semicondctor Fablss,37,NASDAQ,16.84,-1.2,-0.21,299,0.9,56,30,A-,A,B-,65
ACLS,Axcelis Technologies Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,63.44,0.3,0.17,228,-32,91,97,B+,B,B-,99
ACMR,Acm Research Inc Cl A,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,80.55,-1.9,-1.52,114,-37.6,84,30,B+,A,E,68
AEHR,Aehr Test Systems,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,12.6,-4.1,-0.54,766,-40.1,59,99,B+,C,D+,75
AEIS,Advanced Energy Inds,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,86.7,0.2,0.13,167,13.1,39,29,B+,B,D-,43
AMAT,Applied Materials Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,140.81,1.6,2.2,6501,0.6,92,83,B+,A,D-,91
ASML,A S M L Holding N.V. NY,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,684.67,0.4,2.79,531,-41.4,95,52,B+,A,E,75
ASYS,Amtech Systems Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,8.75,-2,-0.18,27,-64.8,69,27,B+,C,E,62
ATOM,Atomera Incorporated,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,13.96,-1.7,-0.24,187,-21.4,27,18,B+,D,E,25
AXTI,A X T Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,7.37,-1.2,-0.09,114,-29.1,69,23,B+,B,B,68
AZTA,Azenta Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,87.01,1.7,1.43,578,41.3,57,30,B+,C,D,52
CCMP,CMC Materials Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,185.68,0,-0.06,410,23.4,71,95,B+,B,C+,86
COHR,Coherent Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,258.09,0,0.02,139,39.7,67,85,B+,B,B,92
COHU,Cohu Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,32.27,-0.6,-0.2,226,-31.4,77,31,B+,A,D-,69
CVV,C V D Equipment Corp,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,4.68,-3.9,-0.19,5,-81.9,69,75,B+,E,B-,66
DAIO,Data I O Corp,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,4.96,4.2,0.2,2,-89.3,61,29,B+,D,C-,48
ENTG,Entegris Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,132.27,3,3.83,986,11.2,95,81,B+,A,C+,94
FORM,Formfactor Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,42.97,0.1,0.06,309,36,71,81,B+,A,B-,83
ICHR,Ichor Holdings Ltd,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,42.76,0.7,0.31,114,-24.1,80,37,B+,B,B-,72
IVAC,Intevac Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,5.34,-2.5,-0.14,33,-77.7,4,44,B+,E,B,33
KLAC,K L A Corp,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,395.51,1.9,7.48,853,-6.2,96,89,B+,A,D+,98
KLIC,Kulicke & Soffa Ind Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,54.06,-0.6,-0.32,782,-9.8,89,85,B+,A,C,91
KOPN,Kopin Corp,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,2.86,-7.6,-0.24,725,-40.3,2,8,B+,D,D,17
KULR,KULR Technology Group,CHIPS,Elec-Semiconductor Equip,61,AMEX,2.21,-0.5,-0.01,317,-68.8,2,27,B+,D,D-,27
LRCX,Lam Research Corp,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,609.35,3.4,19.88,1179,10.5,93,72,B+,A,E,90
MKSI,M K S Instruments Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,155.92,0.6,0.93,297,-2.7,87,48,B+,A,D+,82
NVMI,Nova Ltd,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,118.25,1.7,2.03,189,39.2,92,94,B+,A,E,98
ONTO,Onto Innovation Inc,CHIPS,Elec-Semiconductor Equip,61,NYSE,92.88,-0.1,-0.09,195,-25.8,96,96,B+,B,C-,99
PLAB,Photronics Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,18.22,1.1,0.2,471,-3.6,91,97,B+,C,B+,96
TER,Teradyne Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,117.13,0.2,0.25,1920,44.3,94,33,B+,A,C,75
TRT,Trio Tech Intl,CHIPS,Elec-Semiconductor Equip,61,AMEX,7.34,6.4,0.44,83,-81.3,39,97,B+,D,D+,66
UCTT,Ultra Clean Holdings Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,51.49,1.1,0.57,220,-28.2,91,81,B+,A,D-,95
VECO,Veeco Instruments Inc,CHIPS,Elec-Semiconductor Equip,61,NASDAQ,27.35,-0.6,-0.17,203,-29,71,93,B+,B,E,89
ADI,Analog Devices Inc,CHIPS,Elec-Semiconductor Mfg,57,NASDAQ,169.05,2.2,3.68,1658,-31.5,78,65,B+,A,C-,84
AEVA,Aeva Technologies Inc,CHIPS,Elec-Semiconductor Mfg,57,NYSE,5.29,-2.8,-0.15,1160,-22.9,2,12,B+,E,D+,17
AKTS,Akoustis Technologies,CHIPS,Elec-Semiconductor Mfg,57,NASDAQ,5.97,-2.4,-0.15,536,-3.9,27,15,B+,D,B-,33
ALGM,Allegro Microsystems Inc,CHIPS,Elec-Semiconductor Mfg,57,NASDAQ,28.63,-0.2,-0.06,631,6.3,65,60,B+,A,B-,79
AMKR,Amkor Technology Inc,CHIPS,Elec-Semiconductor Mfg,57,NASDAQ,22.08,0.7,0.15,603,-6.4,96,79,B+,B,C-,94
AMPG,AmpliTech Group Inc,CHIPS,Elec-Semiconductor Mfg,57,NASDAQ,2.72,-4.2,-0.12,60,-76.6,5,13,B+,E,C,13
ARBE,Arbe Robotics Ltd,CHIPS,Elec-Semiconductor Mfg,57,NASDAQ,7.87,-3.6,-0.29,42,-43.1,1,25,B+,E,B,31
ASX,A S E Technology Hlg Ads,CHIPS,Elec-Semiconductor Mfg,57,NYSE,7.26,1,0.07,3903,6.5,61,42,B+,B,D-,68
CLS,Celestica Inc,CHIPS,Elec-Semiconductor Mfg,57,NYSE,12.69,-1.2,-0.16,1014,149.8,58,97,B+,D,A,88
